gate_key	metric_key	operator	required_value	unit	hard_gate	condition_or_note
GATE_0_1000	OBSERVED_CORE_PROFESSIONAL_RECORD_COUNT	>=	1000	effective_round_service_records	true	Pipeline proof only.
GATE_0_1000	INDEPENDENT_PROFESSIONAL_SOURCE_FAMILY_COUNT	>=	3	source_families	true	Mirrors do not create families.
GATE_0_1000	GENERIC_ADAPTER_COUNT	>=	2	adapters	true	At least two acquisition adapter classes must produce the common contract.
GATE_0_1000	DEDUPLICATION_IMPLEMENTED	=	true	boolean	true	Duplicate and mirror decisions must be reproducible.
GATE_0_1000	FRESH_PREPARATION_LINKAGE_COMPLETE	=	true	boolean	true	Every credited record links to preparation evidence.
GATE_0_1000	DESCRIPTOR_ASSERTION_LINEAGE_COMPLETE	=	true	boolean	true	Every assertion joins to source and observation context.
GATE_0_1000	CLEAN_POSTGRES_REBUILD_COUNT	>=	2	rebuilds	true	Both clean rebuilds must reproduce governed inventories.
GATE_1_3000	OBSERVED_CORE_PROFESSIONAL_RECORD_COUNT	>=	3000	effective_round_service_records	true	Multi-source acquisition proof.
GATE_1_3000	INDEPENDENT_PROFESSIONAL_SOURCE_FAMILY_COUNT	>=	6	source_families	true	Independent organizer/source families.
GATE_1_3000	LARGEST_SOURCE_FAMILY_SHARE	<=	0.50	ratio	true	Measured over credited effective records.
GATE_1_3000	PROFESSIONAL_DESCRIPTOR_ASSERTION_COUNT	>=	15000	assertions	true	Explicit professional descriptor text or source-defined descriptor identities only; numeric structured scores are separate.
GATE_2_7000	OBSERVED_CORE_PROFESSIONAL_RECORD_COUNT	>=	7000	effective_round_service_records	true	Research-grade acquisition milestone; does not permit training.
GATE_2_7000	PROFESSIONAL_DESCRIPTOR_ASSERTION_COUNT	>=	40000	assertions	true	Explicit P1/P2 professional descriptor assertions; numeric structured scores are separate.
GATE_2_7000	INDEPENDENT_PROFESSIONAL_SOURCE_FAMILY_COUNT	>=	12	source_families	true	Independent organizer/source families.
GATE_2_7000	COMPETITION_EDITION_COUNT	>=	30	editions	true	Verified acquired editions, not planning estimates.
GATE_2_7000	EVIDENCE_CLASS_COUNT	>=	3	evidence_classes	true	Distinct professional evidence classes inside P1/P2.
GATE_2_7000	LARGEST_SOURCE_FAMILY_SHARE	<=	0.35	ratio	true	Measured over credited effective records.
GATE_2_7000	FRESH_PREPARATION_PROVENANCE_RATE	=	1.0000	ratio	true	Every credited record.
GATE_2_7000	SOURCE_PROVENANCE_RATE	=	1.0000	ratio	true	Every credited record and assertion.
GATE_2_7000	SOURCE_FILE_HASH_COMPLETENESS	=	1.0000	ratio	true	Every locally acquired artifact.
GATE_2_7000	RIGHTS_DECISION_COMPLETENESS	=	1.0000	ratio	true	All six source-specific rights dimensions have a decision.
GATE_2_7000	DISTINCT_ENTRY_SERVICE_RATIO	>=	0.60	ratio	true	Before legitimate round multiplication.
GATE_2_7000	HELD_OUT_COMPETITION_FAMILY_COUNT	>=	2	families	true	Candidate split design only; no model evaluation.
GATE_2_7000	DIRECT_C1_OR_SOURCE_ROAST_RECORD_COUNT	>=	2000	records	true	Filter or espresso category is not roast depth.
GATE_2_7000	FILTER_OR_POUR_OVER_RECORD_COUNT	>=	1500	records	true	Fresh professionally judged service.
GATE_2_7000	ESPRESSO_RECORD_COUNT	>=	1500	records	true	Black espresso service; milk is auxiliary.
GATE_2_7000	PROFESSIONAL_CUPPING_OR_ROASTING_RECORD_COUNT	>=	1500	records	true	Green competition, standardized, or production-roast cupping.
GATE_3_10000	MODEL_ELIGIBLE_CORE_PROFESSIONAL_RECORD_COUNT	>=	10000	effective_round_service_records	true	Authorizes only a later separately approved Round 4.
GATE_3_10000	PROFESSIONAL_DESCRIPTOR_ASSERTION_COUNT	>=	60000	assertions	true	Record count alone is insufficient and numeric structured scores do not increment this metric.
GATE_3_10000	INDEPENDENT_PROFESSIONAL_SOURCE_FAMILY_COUNT	>=	15	source_families	true	Independent organizer/source families.
GATE_3_10000	COMPETITION_EDITION_COUNT	>=	50	editions	true	Verified acquired editions.
GATE_3_10000	LARGEST_SOURCE_FAMILY_SHARE	<=	0.30	ratio	true	Measured over model-eligible records.
GATE_3_10000	DISTINCT_ENTRY_SERVICE_RATIO	>=	0.60	ratio	true	Hard minimum retained; 0.65 is preferred.
GATE_3_10000	DISTINCT_ENTRY_SERVICE_RATIO_PREFERRED	>=	0.65	ratio	false	Preferred anti-inflation target.
