key	kind	tags_zh_cn	tags_en	label_zh_cn	label_en	basis	owner_reviewed	role	tag_families
dim:acidity	dimension	葡萄柚|血橙|青柠|柠檬|甜橙|佛手柑|蜜桔|砂糖橘	grapefruit|blood orange|lime|lemon|sweet orange|bergamot|honey mandarin|sugar mandarin	酸质	acidity	OWNER_DIMENSION_TAG_MAP_CN_2026-09-12; en parallel by operator; OWNER_REVIEW_5_2026-09-12 (concrete flavor objects, no adjectives); OWNER_BATCH_1_2026-09-16 (product-label images: concrete objects only; balance/intensity words excluded); OWNER_BATCH_2_2026-09-17 (second image set: concrete objects only)	true	candidate	grapefruit|orange|lemon|lemon|orange|bergamot|orange|orange
dim:sweetness	dimension	蔗糖|蜂蜜|焦糖|花蜜|橘子糖|黑糖|枫糖|牛轧糖|白巧克力|糖蜜|香草	cane sugar|honey|caramel|nectar|mandarin candy|brown sugar|maple syrup|nougat|white chocolate|molasses|vanilla	甜感	sweetness	OWNER_DIMENSION_TAG_MAP_CN_2026-09-12; en parallel by operator; OWNER_REVIEW_5_2026-09-12 (concrete flavor objects, no adjectives); OWNER_BATCH_1_2026-09-16 (product-label images: concrete objects only; balance/intensity words excluded); OWNER_BATCH_2_2026-09-17 (second image set: concrete objects only); OWNER_BATCH_3_2026-09-19 (corpus-supported concrete objects approved for the dynamic question bank's second-level options; 姜 written 生姜)	true	candidate	sugar|honey|caramel|honey|confection|dark_sugar|dark_sugar|confection|confection|dark_sugar|vanilla
dim:body	dimension	丝绒奶油|慕斯|奶油	velvet cream|mousse|cream	醇厚度	body	OWNER_DIMENSION_TAG_MAP_CN_2026-09-12; en parallel by operator; OWNER_REVIEW_5_2026-09-12 (concrete flavor objects, no adjectives); OWNER_ROLE_2026-09-17 (evaluation dimension: its words go to the card's evaluation rows, never to the candidate list)	true	evaluation	w0|w1|w2
dim:floral	dimension	茉莉花|玉兰花|橙花|咖啡花|金银花|山茶花|玫瑰|姜花|洋甘菊	jasmine|magnolia|orange blossom|coffee blossom|honeysuckle|camellia|rose|ginger lily|chamomile	花香	floral	OWNER_DIMENSION_TAG_MAP_CN_2026-09-12; en parallel by operator; OWNER_REVIEW_5_2026-09-12 (concrete flavor objects, no adjectives); OWNER_BATCH_1_2026-09-16 (product-label images: concrete objects only; balance/intensity words excluded); OWNER_BATCH_2_2026-09-17 (second image set: concrete objects only)	true	candidate	w0|w1|w2|w3|w4|w5|w6|w7|w8
dim:fruity	dimension	水蜜桃|黄桃|黑加仑|杏桃|蔓越莓|蓝莓|草莓|葡萄|白葡萄|蜜瓜|凤梨|荔枝|秋月梨|白桃|车厘子|树莓|黑莓|石榴|李子|苹果|芒果|香蕉|椰子|葡萄干|西梅	peach|yellow peach|blackcurrant|apricot|cranberry|blueberry|strawberry|grape|white grape|melon|pineapple|lychee|Akizuki pear|white peach|cherry|raspberry|blackberry|pomegranate|plum|apple|mango|banana|coconut|raisin|prune	果香	fruity	OWNER_DIMENSION_TAG_MAP_CN_2026-09-12; en parallel by operator; OWNER_REVIEW_5_2026-09-12 (concrete flavor objects, no adjectives); OWNER_BATCH_1_2026-09-16 (product-label images: concrete objects only; balance/intensity words excluded); OWNER_BATCH_2_2026-09-17 (second image set: concrete objects only); OWNER_BATCH_3_2026-09-19 (corpus-supported concrete objects approved for the dynamic question bank's second-level options; 姜 written 生姜)	true	candidate	stone|stone|berry|stone|berry|berry|berry|grape_pome|grape_pome|tropical|tropical|tropical|grape_pome|stone|stone|berry|berry|berry|stone|grape_pome|tropical|tropical|tropical|dried|dried
dim:nutty_chocolate	dimension	烤榛果|可可|提拉米苏|曲奇饼干|牛奶巧克力|榛果巧克力|巧克力酱|杏仁|花生|核桃|吐司|麦芽	roasted hazelnut|cocoa|tiramisu|butter cookie|milk chocolate|hazelnut chocolate|chocolate sauce|almond|peanut|walnut|toast|malt	坚果巧克力	nutty & chocolate	OWNER_DIMENSION_TAG_MAP_CN_2026-09-12; en parallel by operator; OWNER_REVIEW_5_2026-09-12 (concrete flavor objects, no adjectives); OWNER_BATCH_1_2026-09-16 (product-label images: concrete objects only; balance/intensity words excluded); OWNER_BATCH_2_2026-09-17 (second image set: concrete objects only); OWNER_BATCH_3_2026-09-19 (corpus-supported concrete objects approved for the dynamic question bank's second-level options; 姜 written 生姜)	true	candidate	nut|chocolate|baked|baked|chocolate|chocolate|chocolate|nut|nut|nut|baked|baked
dim:fermented_winey	dimension	朗姆酒|红酒|酒酿	rum|red wine|jiuniang	发酵与酒香	fermented & winey	OWNER_DIMENSION_TAG_MAP_CN_2026-09-12; en parallel by operator; OWNER_COPY_REVIEW_2026-09-12 (dimension label: process word 厌氧 removed); en synced OWNER_COPY_REVIEW_2_2026-09-12; OWNER_REVIEW_5_2026-09-12 (concrete flavor objects, no adjectives); OWNER_ROLE_2026-09-17 (evaluation dimension: its words go to the card's evaluation rows, never to the candidate list)	true	evaluation	w0|w1|w2
dim:bitter_roasted	dimension	黑巧克力|烟熏可可|炭烧	dark chocolate|smoky cocoa|charred	烘烤苦感	roast & bitter	OWNER_DIMENSION_TAG_MAP_CN_2026-09-12; en parallel by operator; OWNER_REVIEW_5_2026-09-12 (concrete flavor objects, no adjectives); OWNER_ROLE_2026-09-17 (evaluation dimension: its words go to the card's evaluation rows, never to the candidate list)	true	evaluation	w0|w1|w2
dim:spice	dimension	肉桂|丁香|小豆蔻|生姜|八角|肉豆蔻	cinnamon|clove|cardamom|ginger|star anise|nutmeg	香料	spice	OWNER_DIMENSION_TAG_MAP_CN_2026-09-12; en parallel by operator; OWNER_COPY_REVIEW_2026-09-12 (异域 removed); OWNER_REVIEW_5_2026-09-12 (concrete flavor objects, no adjectives); OWNER_ROLE_2026-09-17 (evaluation dimension: its words go to the card's evaluation rows, never to the candidate list); OWNER_NOTE_2026-09-19 (cinnamon first: cardamom is a remote reference for Chinese readers); OWNER_BATCH_3_2026-09-19 (corpus-supported concrete objects approved for the dynamic question bank's second-level options; 姜 written 生姜)	true	evaluation	w0|w1|w2|w3|w4|w5
dim:herbal_green	dimension	茉莉绿茶|高山乌龙|柠檬草|伯爵茶|红茶|薄荷	jasmine green tea|high-mountain oolong|lemongrass|Earl Grey tea|black tea|mint	草本绿茶	herbal & green	OWNER_DIMENSION_TAG_MAP_CN_2026-09-12; en parallel by operator; OWNER_REVIEW_5_2026-09-12 (concrete flavor objects, no adjectives); OWNER_BATCH_1_2026-09-16 (product-label images: concrete objects only; balance/intensity words excluded); OWNER_BATCH_2_2026-09-17 (second image set: concrete objects only); OWNER_BATCH_3_2026-09-19 (corpus-supported concrete objects approved for the dynamic question bank's second-level options; 姜 written 生姜)	true	candidate	tea|tea|herb|tea|tea|herb
