route_key	independent_source_family_id	disposition	artifact_count	publication_row_count	verified_descriptor_count	new_round3m_broad_acquisition_budget	reason
BOP_RESULT_TABLES	family.scap_best_of_panama	EXCLUDED_LOW_YIELD	29	910	0	0	Public audited surface is protocol, ranking, score, medal, award, or result metadata rather than a filled coffee-specific professional descriptor observation.
GOLDEN_BEAN_PUBLIC_RESULTS	family.golden_bean	EXCLUDED_LOW_YIELD	137	4647	0	0	Public audited surface is protocol, ranking, score, medal, award, or result metadata rather than a filled coffee-specific professional descriptor observation.
WCC_BLANK_FORMS	family.world_coffee_events	P0_PROTOCOL	141	4025	0	0	Public audited surface is protocol, ranking, score, medal, award, or result metadata rather than a filled coffee-specific professional descriptor observation.
WCC_RANKING_METADATA	family.world_coffee_events	RESULT_METADATA	141	4025	0	0	Public audited surface is protocol, ranking, score, medal, award, or result metadata rather than a filled coffee-specific professional descriptor observation.
SCAJ_RESULTS	family.scaj	EXCLUDED_LOW_YIELD	5	270	0	0	Public audited surface is protocol, ranking, score, medal, award, or result metadata rather than a filled coffee-specific professional descriptor observation.
AFCA_SCORE_TABLES	family.afca_taste_of_harvest	EXCLUDED_LOW_YIELD	12	149	0	0	Public audited surface is protocol, ranking, score, medal, award, or result metadata rather than a filled coffee-specific professional descriptor observation.
ROYAL_ADELAIDE_RESULTS	family.royal_adelaide	EXCLUDED_LOW_YIELD	4	343	0	0	Public audited surface is protocol, ranking, score, medal, award, or result metadata rather than a filled coffee-specific professional descriptor observation.
MELBOURNE_ROYAL_RESULTS	family.melbourne_royal	EXCLUDED_LOW_YIELD	7	4535	0	0	Public audited surface is protocol, ranking, score, medal, award, or result metadata rather than a filled coffee-specific professional descriptor observation.
AVPA_PALMARES	family.avpa	EXCLUDED_LOW_YIELD	5	395	0	0	Public audited surface is protocol, ranking, score, medal, award, or result metadata rather than a filled coffee-specific professional descriptor observation.
IIAC_PUBLIC_MEDAL_LISTS	family.iiac	PARTNERSHIP_ONLY	6	182	0	0	Public audited surface is protocol, ranking, score, medal, award, or result metadata rather than a filled coffee-specific professional descriptor observation.
GLOBAL_COFFEE_AWARDS_PUBLIC_AWARD_LISTS	family.global_coffee_awards	EXCLUDED_LOW_YIELD	0	0	0	0	Public audited surface is protocol, ranking, score, medal, award, or result metadata rather than a filled coffee-specific professional descriptor observation.
