section	readiness_key	minimum_required	preferred_required	observed	hard_gate	passed	evidence_path	limitation
BASELINE	checkpoint.source_sha	ccf5769cb5e1f165209e59beaef9fe54017265f5	ccf5769cb5e1f165209e59beaef9fe54017265f5	ccf5769cb5e1f165209e59beaef9fe54017265f5	true	true	git rev-parse origin/main	Exact verified remote main before isolated worktree creation.
BASELINE	canonical.concept_count	130	130	130	true	true	kb.concept	Canonical ontology remains frozen.
BASELINE	canonical.active_sensory_attribute_count	92	92	92	true	true	kb.concept	Active sensory attributes remain frozen.
BASELINE	sensory.source_family_count	5	8	9	true	true	audit.v_model_prebuild_coverage	Independent governed sensory origins only.
BASELINE	sensory.method_family_count	3	4	4	true	true	evidence.model_prebuild_source_profile	Source-local CATA RATA descriptive and Q-grader semantics remain distinct.
BASELINE	sensory.source_local_observation_row_count	DESCRIPTIVE	DESCRIPTIVE	4344	false	true	audit.v_model_prebuild_coverage	No mandatory sensory-row quota.
BASELINE	sensory.source_local_sample_count	DESCRIPTIVE	DESCRIPTIVE	230	false	true	audit.v_model_prebuild_coverage	Counts source-local samples/configurations not pooled people.
BASELINE	sensory.disclosed_participant_or_panelist_count	DESCRIPTIVE	DESCRIPTIVE	520	false	true	audit.v_model_prebuild_coverage	Only disclosed counts.
BASELINE	context.preparation_sensory_coverage	3	5	8	true	true	audit.v_model_prebuild_coverage	Observed sensory-outcome preparations only.
BASELINE	context.roast_sensory_coverage	4	6	9	true	true	audit.v_model_prebuild_coverage	Source roast schemes remain explicit.
BASELINE	context.crossed_cell_count	12	50	118	true	true	audit.model_prebuild_context_cell	Observed cells only.
BASELINE	context.empirical_coverage_cell_count	120	180	181	true	true	audit.v_model_prebuild_coverage	No inferred or zero-filled cells.
BASELINE	consumer.ordinary_user_source_count	2	4	5	true	true	audit.v_model_prebuild_coverage	Sources must contain sensory outcomes.
BASELINE	reference.panel_source_count	2	3	4	true	true	audit.v_model_prebuild_coverage	Disclosed trained/reference panels.
BASELINE	milk.sensory_outcome_source_family_count	0	1	2	false	true	audit.v_model_prebuild_coverage	Actual milk-coffee sensory outcomes.
BASELINE	language.contemporary_source_family_count	3	5	0	true	false	corpus.v_model_prebuild_language_inventory	Firstbloom dictionaries chemistry-only and generic titles excluded.
BASELINE	language.new_contemporary_document_count	500	1500	0	true	false	corpus.v_model_prebuild_language_inventory	Documents must contain actual contemporary tasting language.
BASELINE	language.unique_expression_count	2500	3500	1777	true	false	corpus.normalized_expression	Observed or source-derived normalized expressions only.
BASELINE	language.zh_hans_source_family_count	2	3	0	true	false	corpus.v_model_prebuild_language_inventory	Source-authored Simplified Chinese only.
BASELINE	language.zh_hans_sensory_expression_count	0	200	0	false	false	corpus.v_model_prebuild_language_inventory	Preferred depth; no project or machine translation.
BASELINE	relationship.evidence_claim_count	80	150	96	true	true	audit.v_model_prebuild_relationship_delta	Reviewed meaningful claims only.
BASELINE	relationship.source_local_membership_count	6	10	6	true	true	audit.v_model_prebuild_relationship_delta	Supported membership paths.
BASELINE	relationship.cross_source_membership_count	4	6	4	true	true	audit.v_model_prebuild_relationship_delta	Independent-origin paths.
BASELINE	relationship.range_with_source_local_evidence_count	6	7	6	true	true	audit.model_prebuild_range_evidence_summary	Range lifecycle remains unchanged.
BASELINE	relationship.range_with_cross_source_evidence_count	0	4	3	false	false	audit.model_prebuild_range_evidence_summary	Preferred depth; do not force a fourth range.
BASELINE	question.independent_research_target_count	6	10	12	true	true	calibration.v_model_prebuild_question_evidence	Research support is not user validation.
BASELINE	question.user_validated_count	0	0	0	true	true	calibration.model_prebuild_question_evidence	Real-human validation remains prohibited.
BASELINE	question.information_gain_estimated_count	0	0	0	true	true	calibration.model_prebuild_question_evidence	No real observations or model estimates.
BASELINE	analysis.feature_registry_count	20	20	20	true	true	evidence.model_prebuild_feature_definition	Registry exists and remains source-partition aware.
BASELINE	analysis.source_partition_count	12	12	12	true	true	evidence.model_prebuild_source_partition	Federated source partitions exist.
BASELINE	analysis.leakage_audit	true	true	true	true	true	audit.model_prebuild_leakage_risk	Future grouping keys are declared.
BASELINE	governance.source_annotation_completeness	1.0000	1.0000	1.0000	true	true	audit.v_model_prebuild_rights_completeness	Admitted source profiles are complete.
BASELINE	governance.rights_review_completeness	1.0000	1.0000	1.0000	true	true	audit.v_model_prebuild_rights_completeness	Granular language rights not yet exercised.
BASELINE	governance.privacy_review_completeness	1.0000	1.0000	1.0000	true	true	audit.v_model_prebuild_rights_completeness	No direct participant identifiers admitted.
BASELINE	governance.source_file_hash_completeness	1.0000	1.0000	1.0000	true	true	audit.v_model_prebuild_rights_completeness	All admitted local files are hash governed.
