review_key	membership_key	disposition	prior_lifecycle	new_lifecycle	supporting_source_families	challenging_source_families	decision_reason	remaining_uncertainty	review_protocol
review.membership.floral-tea.floral	membership.floral-tea.floral	RETAIN_CANDIDATE	CANDIDATE	CANDIDATE	none	none	No admitted source tested this anchor relationship.	Coffee-protocol and bilingual evidence remain absent.	ROUND3G_COMPLETE_EVIDENCE_MATRIX_V1
review.membership.floral-tea.jasmine	membership.floral-tea.jasmine	RETAIN_CANDIDATE	CANDIDATE	CANDIDATE	none	none	Exact lexical attestation is insufficient for range membership.	Independent bilingual and coffee-sensory grouping review remain absent.	ROUND3G_COMPLETE_EVIDENCE_MATRIX_V1
review.membership.floral-tea.black-tea	membership.floral-tea.black-tea	RETAIN_CANDIDATE	CANDIDATE	CANDIDATE	none	none	No admitted source tested this relationship.	Tea-style wording remains protocol and culture dependent.	ROUND3G_COMPLETE_EVIDENCE_MATRIX_V1
review.membership.fruit.berry	membership.fruit.berry	RETAIN_CANDIDATE	CANDIDATE	CANDIDATE	none	none	The admitted sensory source measured jackfruit aroma, not this membership.	No compatible grouping evidence for berry was acquired.	ROUND3G_COMPLETE_EVIDENCE_MATRIX_V1
review.membership.fruit.citrus	membership.fruit.citrus	RETAIN_CANDIDATE	CANDIDATE	CANDIDATE	none	none	The admitted sensory source did not test citrus placement.	No compatible source-local grouping evidence was acquired.	ROUND3G_COMPLETE_EVIDENCE_MATRIX_V1
review.membership.cocoa-nut-caramel.cocoa	membership.cocoa-nut-caramel.cocoa	RETAIN_CANDIDATE	CANDIDATE	CANDIDATE	none	none	No admitted source tested this relationship.	The sensory workbook had no cocoa grouping.	ROUND3G_COMPLETE_EVIDENCE_MATRIX_V1
review.membership.cocoa-nut-caramel.dark-chocolate	membership.cocoa-nut-caramel.dark-chocolate	RETAIN_CANDIDATE	CANDIDATE	CANDIDATE	none	none	No admitted source tested this relationship.	The sensory workbook had no dark-chocolate grouping.	ROUND3G_COMPLETE_EVIDENCE_MATRIX_V1
review.membership.cocoa-nut-caramel.caramel	membership.cocoa-nut-caramel.caramel	RETAIN_CANDIDATE	CANDIDATE	CANDIDATE	none	none	Direct sweet ratings do not support caramel grouping.	The caramel-to-sweet and caramel-to-cocoa relationships remain untested.	ROUND3G_COMPLETE_EVIDENCE_MATRIX_V1
review.membership.cocoa-nut-caramel.honey	membership.cocoa-nut-caramel.honey	RETAIN_CANDIDATE	CANDIDATE	CANDIDATE	none	none	Direct sweet ratings do not support honey grouping.	Honey remains ambiguous across sensory and consumer-reference uses.	ROUND3G_COMPLETE_EVIDENCE_MATRIX_V1
review.membership.roast-spice-smoke.smoke	membership.roast-spice-smoke.smoke	PROMOTE_SOURCE_LOCAL	CANDIDATE	SOURCE_LOCAL_SUPPORTED	family.liberica-ratapanel-2025	none	A versioned coffee RATA study explicitly measured Smoky Aroma across nine source-defined sample configurations and meets the frozen local support threshold.	The source separately measures Roasty Flavor; promotion is limited to the smoke membership and source-local lifecycle.	ROUND3G_COMPLETE_EVIDENCE_MATRIX_V1
review.membership.sweet-associated.caramel	membership.sweet-associated.caramel	RETAIN_CANDIDATE	CANDIDATE	CANDIDATE	none	none	The admitted study measured Sweet but did not associate caramel with it.	Consumer wording and coffee-sensory grouping remain untested.	ROUND3G_COMPLETE_EVIDENCE_MATRIX_V1
review.membership.sweet-associated.honey	membership.sweet-associated.honey	RETAIN_CANDIDATE	CANDIDATE	CANDIDATE	none	none	The admitted study measured Sweet but did not associate honey with it.	Consumer wording and coffee-sensory grouping remain untested.	ROUND3G_COMPLETE_EVIDENCE_MATRIX_V1
review.membership.acidity-character.citrus	membership.acidity-character.citrus	RETAIN_CANDIDATE	CANDIDATE	CANDIDATE	none	family.liberica-ratapanel-2025	The source operationalized Sour separately and supplied no citrus relationship.	Compatibility among sour, bright and citrus constructs remains unresolved.	ROUND3G_COMPLETE_EVIDENCE_MATRIX_V1
review.membership.acidity-character.juicy	membership.acidity-character.juicy	RETAIN_CANDIDATE	CANDIDATE	CANDIDATE	none	family.liberica-ratapanel-2025	Lexical attestation is below threshold and the sensory source did not test juicy.	Coffee-specific acidity meaning and bilingual wording require independent review.	ROUND3G_COMPLETE_EVIDENCE_MATRIX_V1
review.membership.texture-body-drying.juicy	membership.texture-body-drying.juicy	RETAIN_CANDIDATE	CANDIDATE	CANDIDATE	none	family.liberica-ratapanel-2025	The source separated Body and Astringent Aftertaste and did not test juicy as texture.	Coffee-specific tactile meaning and bilingual wording remain unresolved.	ROUND3G_COMPLETE_EVIDENCE_MATRIX_V1
review.membership.texture-body-drying.silky	membership.texture-body-drying.silky	RETAIN_CANDIDATE	CANDIDATE	CANDIDATE	none	family.liberica-ratapanel-2025	The source separated Body and Astringent Aftertaste and did not test silky.	No source-local grouping evidence for silky was acquired.	ROUND3G_COMPLETE_EVIDENCE_MATRIX_V1
review.membership.floral-tea.fragrant-tea	membership.floral-tea.fragrant-tea	RETAIN_CANDIDATE	CANDIDATE	CANDIDATE	none	none	No admitted source tested this text-only candidate.	The phrase remains source- and translation-sensitive.	ROUND3G_COMPLETE_EVIDENCE_MATRIX_V1
review.membership.texture-body-drying.tea-like	membership.texture-body-drying.tea-like	RETAIN_CANDIDATE	CANDIDATE	CANDIDATE	none	none	The exact Wiktionary title was missing and absence is not negative evidence.	Coffee texture semantics and bilingual wording remain unresolved.	ROUND3G_COMPLETE_EVIDENCE_MATRIX_V1
