question_version_key	logical_question_code	language	lifecycle_status	target_distinction	eligible_c0_json	eligible_c1_json	candidate_region	prompt	answer_options_json	sensory_modality	evidence_json	consumer_familiarity_assumptions	translation_notes	ambiguity	expected_information_role	unresolved_concerns	information_gain_status	ordinary_user_validation_evidence
round3e.floral_tea_reference.en	floral_tea_reference	en	RESEARCH_REVIEWED	floral, fragrant-tea, and neither/uncertain references after a broad floral-or-tea response	"[""filter_percolation"",""immersion"",""hybrid"",""espresso_pressure"",""diluted_espresso"",""stovetop_boiled"",""cold_extraction"",""espresso_milk""]"	"[""extremely_light"",""light"",""medium_light"",""medium"",""medium_dark"",""dark"",""extremely_dark""]"	floral/tea	Which reference is closest, if any?	"[""jasmine or white floral"",""fragrant tea"",""another floral or tea reference"",""none of these"",""not sure""]"	retronasal aroma and flavor reference	"[""dryad.cotter-black-coffee.v4:CATA Tea.floral"",""round3e.lexical-review:floral-tea""]"	Jasmine and tea may be familiar while white-floral and fragrant-tea subtypes may not be.	English research draft; not user-validated.	Tea-like can describe aroma, structure, dilution, or a named tea; jasmine can mean flower, tea, or fragrance.	candidate-local refinement only; no information-gain value assigned	Needs bilingual sensory review and ordinary-user comprehension testing in each eligible context.	NOT_ESTIMABLE	
round3e.floral_tea_reference.zh_hans	floral_tea_reference	zh-Hans	CANDIDATE	floral, fragrant-tea, and neither/uncertain references after a broad floral-or-tea response	"[""filter_percolation"",""immersion"",""hybrid"",""espresso_pressure"",""diluted_espresso"",""stovetop_boiled"",""cold_extraction"",""espresso_milk""]"	"[""extremely_light"",""light"",""medium_light"",""medium"",""medium_dark"",""dark"",""extremely_dark""]"	floral/tea	如果有接近的联想，哪一种最像？	"[""茉莉或白色花香"",""芳香型茶"",""其他花香或茶感联想"",""都不像"",""不确定""]"	retronasal aroma and flavor reference	"[""dryad.cotter-black-coffee.v4:CATA Tea.floral"",""round3e.lexical-review:floral-tea""]"	Jasmine and tea may be familiar while white-floral and fragrant-tea subtypes may not be.	“芳香型茶” is experiential, not asserted equivalent to fragrant tea; Mainland review pending.	Tea-like can describe aroma, structure, dilution, or a named tea; jasmine can mean flower, tea, or fragrance.	candidate-local refinement only; no information-gain value assigned	Needs bilingual sensory review and ordinary-user comprehension testing in each eligible context.	NOT_ESTIMABLE	
round3e.tea_style_reference.en	tea_style_reference	en	RESEARCH_REVIEWED	Earl Grey, black tea, citrus-peel, and neither/uncertain references after a tea-like answer	"[""filter_percolation"",""immersion"",""hybrid"",""diluted_espresso"",""cold_extraction""]"	"[""extremely_light"",""light"",""medium_light"",""medium""]"	floral/tea	What kind of tea-like reference is closest, if any?	"[""Earl Grey or bergamot"",""black tea"",""citrus peel"",""another tea-like reference"",""none of these"",""not sure""]"	aroma and flavor reference	"[""round3e.lexical-review:tea-like"",""round3e.question-research:nearby-reference-design""]"	Earl Grey familiarity varies by country; black tea is broad and citrus peel may be more concrete.	English research draft; named reference may be unfamiliar.	Earl Grey combines black tea, bergamot, citrus, and floral associations.	candidate-local refinement only; no information-gain value assigned	Named-tea familiarity and experiential equivalence need regional testing.	NOT_ESTIMABLE	
round3e.tea_style_reference.zh_hans	tea_style_reference	zh-Hans	CANDIDATE	Earl Grey, black tea, citrus-peel, and neither/uncertain references after a tea-like answer	"[""filter_percolation"",""immersion"",""hybrid"",""diluted_espresso"",""cold_extraction""]"	"[""extremely_light"",""light"",""medium_light"",""medium""]"	floral/tea	如果有接近的茶感联想，哪一种最像？	"[""伯爵茶或佛手柑"",""红茶"",""柑橘皮"",""其他茶感联想"",""都不像"",""不确定""]"	aroma and flavor reference	"[""round3e.lexical-review:tea-like"",""round3e.question-research:nearby-reference-design""]"	Earl Grey familiarity varies by country; black tea is broad and citrus peel may be more concrete.	Mainland 红茶 corresponds to black tea by production convention, not color-literal translation; review pending.	Earl Grey combines black tea, bergamot, citrus, and floral associations.	candidate-local refinement only; no information-gain value assigned	Named-tea familiarity and experiential equivalence need regional testing.	NOT_ESTIMABLE	
round3e.fruit_region_reference.en	fruit_region_reference	en	RESEARCH_REVIEWED	berry, stone-fruit, tropical-fruit, citrus, and neither/uncertain regions after a broad fruit answer	"[""filter_percolation"",""immersion"",""hybrid"",""espresso_pressure"",""diluted_espresso"",""stovetop_boiled"",""cold_extraction"",""espresso_milk""]"	"[""extremely_light"",""light"",""medium_light"",""medium"",""medium_dark"",""dark"",""extremely_dark""]"	fruit	Which fruit region is closest, if any?	"[""berry"",""stone fruit such as peach or plum"",""tropical fruit"",""citrus"",""another fruit"",""none of these"",""not sure""]"	aroma and flavor reference	"[""dryad.cotter-black-coffee.v4:CATA Fruit and Citrus"",""round2b.firstbloom:recurrent fruit expressions""]"	Fruit families are more familiar than many individual cultivars, but stone fruit is specialist language for some consumers.	Examples are explanatory, not candidate labels.	Fermented, winey, and candy-like fruit references can cross regions.	candidate-region refinement only; no information-gain value assigned	Stone-fruit terminology and examples require comprehension testing.	NOT_ESTIMABLE	
round3e.fruit_region_reference.zh_hans	fruit_region_reference	zh-Hans	CANDIDATE	berry, stone-fruit, tropical-fruit, citrus, and neither/uncertain regions after a broad fruit answer	"[""filter_percolation"",""immersion"",""hybrid"",""espresso_pressure"",""diluted_espresso"",""stovetop_boiled"",""cold_extraction"",""espresso_milk""]"	"[""extremely_light"",""light"",""medium_light"",""medium"",""medium_dark"",""dark"",""extremely_dark""]"	fruit	如果有接近的水果联想，哪一类最像？	"[""莓果类"",""桃或李子一类的核果"",""热带水果"",""柑橘类"",""其他水果"",""都不像"",""不确定""]"	aroma and flavor reference	"[""dryad.cotter-black-coffee.v4:CATA Fruit and Citrus"",""round2b.firstbloom:recurrent fruit expressions""]"	Fruit families are more familiar than many individual cultivars, but stone fruit is specialist language for some consumers.	“核果” may be technical; experiential wording is retained for review.	Fermented, winey, and candy-like fruit references can cross regions.	candidate-region refinement only; no information-gain value assigned	Stone-fruit terminology and examples require comprehension testing.	NOT_ESTIMABLE	
round3e.cocoa_nut_reference.en	cocoa_nut_reference	en	RESEARCH_REVIEWED	cocoa, dark-chocolate, nut, and neither/uncertain references	"[""filter_percolation"",""immersion"",""hybrid"",""espresso_pressure"",""diluted_espresso"",""stovetop_boiled"",""cold_extraction"",""espresso_milk""]"	"[""extremely_light"",""light"",""medium_light"",""medium"",""medium_dark"",""dark"",""extremely_dark""]"	cocoa/nut/caramel	Which reference is closest, if any?	"[""cocoa powder"",""dark chocolate"",""nuts"",""another cocoa or nut reference"",""none of these"",""not sure""]"	aroma and flavor reference	"[""dryad.cotter-black-coffee.v4:CATA Nutty and Dark.chocolate"",""round2b.firstbloom:recurrent cocoa and nut expressions""]"	Cocoa and chocolate are familiar but cocoa powder, cacao, and dark chocolate can overlap.	English research draft.	Roast bitterness can be interpreted as dark chocolate; nut identity remains broad.	candidate-local refinement only; no information-gain value assigned	Needs familiar-reference and milk-context review.	NOT_ESTIMABLE	
round3e.cocoa_nut_reference.zh_hans	cocoa_nut_reference	zh-Hans	CANDIDATE	cocoa, dark-chocolate, nut, and neither/uncertain references	"[""filter_percolation"",""immersion"",""hybrid"",""espresso_pressure"",""diluted_espresso"",""stovetop_boiled"",""cold_extraction"",""espresso_milk""]"	"[""extremely_light"",""light"",""medium_light"",""medium"",""medium_dark"",""dark"",""extremely_dark""]"	cocoa/nut/caramel	如果有接近的联想，哪一种最像？	"[""可可粉"",""黑巧克力"",""坚果"",""其他可可或坚果联想"",""都不像"",""不确定""]"	aroma and flavor reference	"[""dryad.cotter-black-coffee.v4:CATA Nutty and Dark.chocolate"",""round2b.firstbloom:recurrent cocoa and nut expressions""]"	Cocoa and chocolate are familiar but cocoa powder, cacao, and dark chocolate can overlap.	可可/巧克力 boundaries need regional review.	Roast bitterness can be interpreted as dark chocolate; nut identity remains broad.	candidate-local refinement only; no information-gain value assigned	Needs familiar-reference and milk-context review.	NOT_ESTIMABLE	
round3e.browned_sweet_reference.en	browned_sweet_reference	en	RESEARCH_REVIEWED	caramel, brown-sugar, honey, and neither/uncertain references	"[""filter_percolation"",""immersion"",""hybrid"",""espresso_pressure"",""diluted_espresso"",""stovetop_boiled"",""cold_extraction"",""espresso_milk""]"	"[""extremely_light"",""light"",""medium_light"",""medium"",""medium_dark"",""dark"",""extremely_dark""]"	cocoa/nut/caramel	Which sweet or browned-sugar reference is closest, if any?	"[""caramel"",""brown sugar"",""honey"",""another sweet reference"",""none of these"",""not sure""]"	aroma, flavor, and sweetness reference	"[""dryad.cotter-black-coffee.v4:CATA Caramel and Sweet"",""round2b.firstbloom:recurrent caramel, brown sugar, and honey expressions""]"	The references are familiar but sweetness intensity and flavor identity can be conflated.	English research draft.	Honey can imply sweetness, aroma, processing, or mouthfeel.	candidate-local refinement only; no information-gain value assigned	Question must avoid treating perceived sweetness as proof of sugar content.	NOT_ESTIMABLE	
round3e.browned_sweet_reference.zh_hans	browned_sweet_reference	zh-Hans	CANDIDATE	caramel, brown-sugar, honey, and neither/uncertain references	"[""filter_percolation"",""immersion"",""hybrid"",""espresso_pressure"",""diluted_espresso"",""stovetop_boiled"",""cold_extraction"",""espresso_milk""]"	"[""extremely_light"",""light"",""medium_light"",""medium"",""medium_dark"",""dark"",""extremely_dark""]"	cocoa/nut/caramel	如果有接近的甜香或焦糖化联想，哪一种最像？	"[""焦糖"",""红糖"",""蜂蜜"",""其他甜香联想"",""都不像"",""不确定""]"	aroma, flavor, and sweetness reference	"[""dryad.cotter-black-coffee.v4:CATA Caramel and Sweet"",""round2b.firstbloom:recurrent caramel, brown sugar, and honey expressions""]"	The references are familiar but sweetness intensity and flavor identity can be conflated.	红糖 is regionally concrete but not an exact universal equivalent of brown sugar.	Honey can imply sweetness, aroma, processing, or mouthfeel.	candidate-local refinement only; no information-gain value assigned	Question must avoid treating perceived sweetness as proof of sugar content.	NOT_ESTIMABLE	
