policy_key	source_name	country_code	domain	robots_url	robots_status	terms_url	terms_status	access_method	copyright_status	redistribution_status	commercial_use_status	machine_access_status	checked_at	decision	source_blocked	raw_text_allowed	production_export_allowed	evidence_urls	notes
source_policy.firstbloom.a6cb002.derived_terms	Firstbloom Data		github.com	https://github.com/alexcaza/firstbloom-data	Repository access permitted	https://github.com/alexcaza/firstbloom-data/blob/a6cb0026d1af9642724793c799bbc48dc189ba35/LISCENSE	Repository README and license grant CC BY 4.0	Pinned local Git checkout with verified commit and file hashes	Dataset publisher grants CC BY 4.0	Short derived terms and structured metadata may be redistributed with attribution	CC BY 4.0 permits commercial reuse with attribution	Permitted from pinned repository snapshot	2026-08-24	ALLOW_DERIVED_TERMS	false	false	true	["https://github.com/alexcaza/firstbloom-data","https://github.com/alexcaza/firstbloom-data/blob/a6cb0026d1af9642724793c799bbc48dc189ba35/README.md","https://github.com/alexcaza/firstbloom-data/blob/a6cb0026d1af9642724793c799bbc48dc189ba35/LISCENSE"]	Project boundary excludes complete note strings, long descriptions, and consumer reviews despite the dataset license.
source_policy.square_mile.2026_08_24	Square Mile Coffee Roasters	GB	shop.squaremilecoffee.com	https://shop.squaremilecoffee.com/robots.txt	Public product routes technically crawlable	https://shop.squaremilecoffee.com/pages/terms-conditions	Terms prohibit spidering, crawling, and scraping	No acquisition	All rights reserved / contractual restrictions	Not allowed	Not allowed	Prohibited by terms	2026-08-24	BLOCKED	true	false	false	["https://shop.squaremilecoffee.com/robots.txt","https://shop.squaremilecoffee.com/agents.md","https://shop.squaremilecoffee.com/pages/terms-conditions"]	Robots or agent discovery does not override the contractual extraction prohibition.
source_policy.proud_mary.2026_08_24	Proud Mary Coffee	AU	proudmarycoffee.com.au	https://www.proudmarycoffee.com.au/robots.txt	Public product routes technically crawlable	https://www.proudmarycoffee.com.au/pages/terms-and-conditions	Terms prohibit spidering, crawling, scraping, and reproduction	No acquisition	All rights reserved / contractual restrictions	Not allowed	Not allowed	Prohibited by terms	2026-08-24	BLOCKED	true	false	false	["https://www.proudmarycoffee.com.au/robots.txt","https://www.proudmarycoffee.com.au/pages/terms-and-conditions"]	No live content acquired.
source_policy.kurasu.2026_08_24	Kurasu	JP	kurasu.kyoto	https://kurasu.kyoto/robots.txt	Public product routes technically crawlable	https://kurasu.kyoto/policies/terms-of-service	Terms restrict reproduction and prohibit spidering, crawling, and scraping	No acquisition	All rights reserved / contractual restrictions	Not allowed	Not allowed	Prohibited by terms	2026-08-24	BLOCKED	true	false	false	["https://kurasu.kyoto/robots.txt","https://kurasu.kyoto/policies/terms-of-service"]	No live content acquired.
source_policy.counter_culture.2026_08_24	Counter Culture Coffee	US	counterculturecoffee.com	https://counterculturecoffee.com/robots.txt	Product routes generally technically accessible	https://counterculturecoffee.com/pages/terms-of-service	Terms limit use and prohibit data-mining or robot extraction	No acquisition	All rights reserved / contractual restrictions	Not allowed	Not allowed	Prohibited by terms	2026-08-24	BLOCKED	true	false	false	["https://counterculturecoffee.com/robots.txt","https://counterculturecoffee.com/pages/terms-of-service"]	No live content acquired.
source_policy.origin_coffee_uk.2026_08_24	Origin Coffee	GB	origincoffee.co.uk	https://www.origincoffee.co.uk/robots.txt	Robots reviewed	https://www.origincoffee.co.uk/pages/terms-conditions	Terms prohibit spidering, crawling, scraping, and unapproved reproduction	No acquisition	All rights reserved / contractual restrictions	Not allowed	Not allowed	Prohibited by terms	2026-08-24	BLOCKED	true	false	false	["https://www.origincoffee.co.uk/robots.txt","https://www.origincoffee.co.uk/pages/terms-conditions"]	No live content acquired.
source_policy.yardstick.2026_08_24	Yardstick Coffee	PH	yardstickcoffee.com	https://yardstickcoffee.com/robots.txt	Public product routes technically crawlable	https://yardstickcoffee.com/policies/terms-of-service	Terms restrict reproduction and prohibit spidering, crawling, and scraping	No acquisition	All rights reserved / contractual restrictions	Not allowed	Not allowed	Prohibited by terms	2026-08-24	BLOCKED	true	false	false	["https://yardstickcoffee.com/robots.txt","https://yardstickcoffee.com/policies/terms-of-service"]	No live content acquired.
source_policy.common_man.2026_08_24	Common Man Coffee Roasters	SG	commonmancoffeeroasters.com	https://commonmancoffeeroasters.com/robots.txt	Public product routes technically crawlable	https://commonmancoffeeroasters.com/policies/terms-of-service	Terms restrict reproduction and prohibit spidering, crawling, and scraping	No acquisition	All rights reserved / contractual restrictions	Not allowed	Not allowed	Prohibited by terms	2026-08-24	BLOCKED	true	false	false	["https://commonmancoffeeroasters.com/robots.txt","https://commonmancoffeeroasters.com/policies/terms-of-service"]	No live content acquired.
source_policy.father_coffee.2026_08_24	Father Coffee	ZA	father.coffee	https://father.coffee/robots.txt	Public product routes technically crawlable	https://father.coffee/policies/terms-of-service	Terms restrict reproduction and prohibit spidering, crawling, and scraping	No acquisition	All rights reserved / contractual restrictions	Not allowed	Not allowed	Prohibited by terms	2026-08-24	BLOCKED	true	false	false	["https://father.coffee/robots.txt","https://father.coffee/policies/terms-of-service"]	No live content acquired.
source_policy.nomad.2026_08_24	Nomad Coffee	ES	nomadcoffee.es	https://nomadcoffee.es/robots.txt	Robots reviewed	https://nomadcoffee.es/en/policies/legal-notice	Legal notice limits content use and requires permission for reproduction or transformation	Manual metadata review only	All rights reserved	Metadata only without separate permission	Commercial reuse not established	Automated corpus acquisition not approved	2026-08-24	MANUAL_ONLY	false	false	false	["https://nomadcoffee.es/robots.txt","https://nomadcoffee.es/en/policies/legal-notice"]	No live content acquired; written permission would be required before broader use.
source_policy.market_lane.2026_08_24	Market Lane Coffee	AU	marketlane.com.au	https://marketlane.com.au/robots.txt	Public product routes technically crawlable	https://marketlane.com.au/pages/terms-and-conditions	Terms limit content to personal noncommercial use and restrict reproduction or derivatives	Manual metadata review only	All rights reserved / contractual restrictions	Metadata only	Commercial reuse not permitted by reviewed terms	Automated corpus acquisition not approved	2026-08-24	MANUAL_ONLY	false	false	false	["https://marketlane.com.au/robots.txt","https://marketlane.com.au/pages/terms-and-conditions"]	No live content acquired.
source_policy.single_o.2026_08_24	Single O	AU	singleo.com.au	https://singleo.com.au/robots.txt	Product routes generally technically accessible	https://singleo.com.au/pages/privacy-policy-terms-conditions	Reviewed page limits copyrighted material to personal reference	Manual metadata review only	All rights reserved	Metadata only	Commercial reuse not established	Automated corpus acquisition not approved	2026-08-24	MANUAL_ONLY	false	false	false	["https://singleo.com.au/robots.txt","https://singleo.com.au/pages/privacy-policy-terms-conditions"]	No live content acquired.
source_policy.forty_ninth_parallel.2026_08_24	49th Parallel Coffee Roasters	CA	49thcoffee.com	https://49thcoffee.com/robots.txt	Public product routes technically crawlable	https://49thcoffee.com/pages/terms-of-service	No affirmative corpus-reuse grant identified	No acquisition pending permission	Default copyright / reuse scope unresolved	Unknown	Commercial reuse not established	Unknown for intended corpus use	2026-08-24	UNKNOWN	true	false	false	["https://49thcoffee.com/robots.txt","https://49thcoffee.com/pages/terms-of-service"]	No live content acquired; unresolved rights are treated as blocked unless a later review grants permission.
source_policy.tim_wendelboe.2026_08_24	Tim Wendelboe	NO	timwendelboe.no	https://timwendelboe.no/robots.txt	Public product routes technically crawlable	https://timwendelboe.no/en-no/pages/terms-privacy	No affirmative content-reuse grant identified	No acquisition pending permission	Default copyright / reuse scope unresolved	Unknown	Commercial reuse not established	Unknown for intended corpus use	2026-08-24	UNKNOWN	true	false	false	["https://timwendelboe.no/robots.txt","https://timwendelboe.no/en-no/pages/terms-privacy"]	No live content acquired; unresolved rights are treated as blocked unless a later review grants permission.
source_policy.coffee_collective.2026_08_24	Coffee Collective	DK	coffeecollective.dk	https://coffeecollective.dk/robots.txt	Public product routes technically crawlable	https://coffeecollective.dk/policies/terms-of-service	No affirmative content-reuse grant identified	No acquisition pending permission	Default copyright / reuse scope unresolved	Unknown	Commercial reuse not established	Unknown for intended corpus use	2026-08-24	UNKNOWN	true	false	false	["https://coffeecollective.dk/robots.txt","https://coffeecollective.dk/policies/terms-of-service"]	No live content acquired; unresolved rights are treated as blocked unless a later review grants permission.
