review_item_id	priority_tier	provisional_normalized_form_id	assertion_count	effective_record_count	source_family_count	year_count	unresolved_assertion_count	strict_assertion_count	broad_assertion_count	mapping_methods	mapping_confidences	mapping_bases	rights_states	distribution_gap_affected	machine_recommendation	reviewer_decision	reviewer_reason
review-cluster-current:c7c7fed66162de02e7e3b497	P1	provisional-form:a40010d6046616915d64e2b0	439	326	3	19	265	439	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|PENDING|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:0907fe0f6efa63a67170ef14	P1	provisional-form:9738eaf312d761a8ae49f777	358	224	3	17	144	358	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:e8eaf511cbca1392cf73ecf2	P1	provisional-form:7499aced43869b27f505701e	336	250	4	18	189	336	0	DOCUMENTED_ORTHOGRAPHIC_ALIAS|NFKC_CASE_SPACE_PUNCTUATION	0.990000	BATCH2_APPROVED_SPELLING_OR_PLURAL_ALIAS|CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:3d8cccf3c8b310d16d78d500	P1	provisional-form:1b4c9133da73a71132240431	274	231	3	18	222	274	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|PENDING|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:d91742bd1faedac7303d7766	P1	provisional-form:a87b3e348ccb598ecb71bb83	266	252	3	18	239	0	266	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|PENDING|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:5a982b0ca978655ce7990a69	P1	provisional-form:12fad53d7ead16e0de5e2f4e	261	228	3	18	252	261	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:484798bc6822706db6c9a0ef	P1	provisional-form:c082456a7766e23a18db084c	249	102	2	3	2	0	249	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:43d4bd3fc4a720f61470bb85	P1	provisional-form:a55e2e3846a51f6ad0abfdfb	239	228	3	18	225	239	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|PENDING|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:7826b1ddeae0cd47fba1cecf	P1	provisional-form:85356064d03872ac4bed179b	237	221	3	18	207	237	0	NFKC_CASE_SPACE_PUNCTUATION	0.990000	CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|PENDING|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
review-cluster-current:d627e9e097a75fb6e3e7f0b9	P1	provisional-form:73cce42f1f0e9099688b8eb6	234	184	3	16	139	234	0	DOCUMENTED_ORTHOGRAPHIC_ALIAS|NFKC_CASE_SPACE_PUNCTUATION	0.990000	BATCH2_APPROVED_SPELLING_OR_PLURAL_ALIAS|CASE_SPACING_AND_PUNCTUATION_NORMALIZATION	AFFIRMATIVE|UNKNOWN	LABEL_SUPPORT|PAIR_SUPPORT|SOURCE_FAMILY|YEAR|PROVENANCE	VERIFY_CLUSTER_MEMBERSHIP_AND_CANONICAL_LABEL_OR_SPLIT_OR_ABSTAIN		
