record_type	record_key	record_json
current_sensory_partition	partition.baseline.cotter	"{""row_count"": 3186, ""sample_count"": 1, ""partition_key"": ""partition.baseline.cotter"", ""sensory_method"": ""CATA_JAR_HEDONIC"", ""rights_boundary"": ""Existing source-specific rights record governs export."", ""participant_type"": ""ORDINARY_USER"", ""source_family_key"": ""family.legacy-cotter-consumers"", ""dataset_snapshot_key"": ""snapshot.dryad-cotter.v4"", ""compatible_join_group"": ""group.cotter-source-local"", ""partial_feature_count"": 2, ""declared_feature_count"": 11, ""compatible_feature_count"": 7, ""non_poolable_feature_count"": 2, ""pooling_contract_consistent"": true, ""future_training_surface_status"": ""ELIGIBLE_AFTER_FUTURE_PROTOCOL""}"
current_sensory_partition	partition.baseline.firstbloom	"{""row_count"": 1777, ""sample_count"": 0, ""partition_key"": ""partition.baseline.firstbloom"", ""sensory_method"": ""INDUSTRY_LANGUAGE"", ""rights_boundary"": ""Historical governed corpus remains separate from new contemporary-family targets."", ""participant_type"": ""NOT_APPLICABLE"", ""source_family_key"": ""family.firstbloom-historical"", ""dataset_snapshot_key"": ""snapshot.firstbloom-governed"", ""compatible_join_group"": ""group.firstbloom-language"", ""partial_feature_count"": 1, ""declared_feature_count"": 4, ""compatible_feature_count"": 3, ""non_poolable_feature_count"": 0, ""pooling_contract_consistent"": true, ""future_training_surface_status"": ""ELIGIBLE_AFTER_FUTURE_PROTOCOL""}"
current_sensory_partition	partition.baseline.liberica	"{""row_count"": 9, ""sample_count"": 9, ""partition_key"": ""partition.baseline.liberica"", ""sensory_method"": ""RATA"", ""rights_boundary"": ""Only public aggregate is exportable; raw panel identifiers remain external."", ""participant_type"": ""TRAINED_PANEL"", ""source_family_key"": ""family.liberica-ratapanel-2025"", ""dataset_snapshot_key"": ""snapshot.mendeley-liberica.v1"", ""compatible_join_group"": ""group.liberica-source-local"", ""partial_feature_count"": 1, ""declared_feature_count"": 10, ""compatible_feature_count"": 7, ""non_poolable_feature_count"": 2, ""pooling_contract_consistent"": true, ""future_training_surface_status"": ""ELIGIBLE_AFTER_FUTURE_PROTOCOL""}"
current_sensory_partition	partition.round3h.bollen	"{""row_count"": 95, ""sample_count"": 95, ""partition_key"": ""partition.round3h.bollen"", ""sensory_method"": ""Q_GRADER_CUPPING"", ""rights_boundary"": ""CC BY sanitized aggregate; raw workbook metadata and third-party protocol materials excluded."", ""participant_type"": ""EXPERT_PANEL"", ""source_family_key"": ""family.bollen-robusta-qgraders-2024"", ""dataset_snapshot_key"": ""snapshot.figshare-25735122.v1"", ""compatible_join_group"": ""group.bollen-source-local"", ""partial_feature_count"": 4, ""declared_feature_count"": 12, ""compatible_feature_count"": 7, ""non_poolable_feature_count"": 1, ""pooling_contract_consistent"": true, ""future_training_surface_status"": ""ELIGIBLE_AFTER_FUTURE_PROTOCOL""}"
current_sensory_partition	partition.round3h.gorman	"{""row_count"": 74, ""sample_count"": 4, ""partition_key"": ""partition.round3h.gorman"", ""sensory_method"": ""CATA_HEDONIC"", ""rights_boundary"": ""CC BY aggregate; request-only participant rows excluded."", ""participant_type"": ""ORDINARY_USER"", ""source_family_key"": ""family.gorman-milk-consumers-2021"", ""dataset_snapshot_key"": ""snapshot.mdpi-beverages-07-00080.vor"", ""compatible_join_group"": ""group.gorman-source-local"", ""partial_feature_count"": 2, ""declared_feature_count"": 10, ""compatible_feature_count"": 6, ""non_poolable_feature_count"": 2, ""pooling_contract_consistent"": true, ""future_training_surface_status"": ""ELIGIBLE_AFTER_FUTURE_PROTOCOL""}"
current_sensory_partition	partition.round3h.iswaldi	"{""row_count"": 72, ""sample_count"": 12, ""partition_key"": ""partition.round3h.iswaldi"", ""sensory_method"": ""RATA_HEDONIC"", ""rights_boundary"": ""CC BY aggregate only."", ""participant_type"": ""ORDINARY_USER"", ""source_family_key"": ""family.iswaldi-rataconsumers-2026"", ""dataset_snapshot_key"": ""snapshot.scielo-iswaldi-2026.vor"", ""compatible_join_group"": ""group.iswaldi-source-local"", ""partial_feature_count"": 3, ""declared_feature_count"": 13, ""compatible_feature_count"": 7, ""non_poolable_feature_count"": 3, ""pooling_contract_consistent"": true, ""future_training_surface_status"": ""ELIGIBLE_AFTER_FUTURE_PROTOCOL""}"
current_sensory_partition	partition.round3h.nguyen	"{""row_count"": 280, ""sample_count"": 10, ""partition_key"": ""partition.round3h.nguyen"", ""sensory_method"": ""TRAINED_DESCRIPTIVE_AND_HEDONIC"", ""rights_boundary"": ""CC BY aggregate; panel types and outcomes remain separated."", ""participant_type"": ""ORDINARY_USER"", ""source_family_key"": ""family.nguyen-pbma-thai-2026"", ""dataset_snapshot_key"": ""snapshot.mdpi-foods-15-02583.vor"", ""compatible_join_group"": ""group.nguyen-source-local"", ""partial_feature_count"": 4, ""declared_feature_count"": 14, ""compatible_feature_count"": 7, ""non_poolable_feature_count"": 3, ""pooling_contract_consistent"": true, ""future_training_surface_status"": ""ELIGIBLE_AFTER_FUTURE_PROTOCOL""}"
current_sensory_partition	partition.round3h.vezzulli	"{""row_count"": 160, ""sample_count"": 8, ""partition_key"": ""partition.round3h.vezzulli"", ""sensory_method"": ""TRAINED_DESCRIPTIVE"", ""rights_boundary"": ""CC BY article aggregates; chemistry and third-party form materials excluded."", ""participant_type"": ""TRAINED_PANEL"", ""source_family_key"": ""family.vezzulli-trainedpanel-2022"", ""dataset_snapshot_key"": ""snapshot.pmc8953325.xml"", ""compatible_join_group"": ""group.vezzulli-source-local"", ""partial_feature_count"": 4, ""declared_feature_count"": 12, ""compatible_feature_count"": 7, ""non_poolable_feature_count"": 1, ""pooling_contract_consistent"": true, ""future_training_surface_status"": ""ELIGIBLE_AFTER_FUTURE_PROTOCOL""}"
range_evidence_summary	acidity-character	"{""range_key"": ""acidity-character"", ""limitation"": ""Independent Condelli and Cotter paths support an acidity/citrus relationship; the positive Dryad correlation is non-causal and does not merge Citrus with Acidity or change the source-local membership lifecycle."", ""range_lifecycle_changed"": false, ""supporting_source_families"": [""family.condelli-consumer-cata-2022"", ""family.legacy-cotter-consumers""], ""challenging_source_families"": [""family.iswaldi-rataconsumers-2026"", ""family.bollen-robusta-qgraders-2024""], ""cross_source_supporting_membership_count"": 1, ""source_local_supporting_membership_count"": 1}"
range_evidence_summary	cocoa-nut-caramel	"{""range_key"": ""cocoa-nut-caramel"", ""limitation"": ""Member promotions do not promote or validate the full association range."", ""range_lifecycle_changed"": false, ""supporting_source_families"": [""family.vezzulli-trainedpanel-2022"", ""family.bollen-robusta-qgraders-2024"", ""family.gorman-milk-consumers-2021"", ""family.nguyen-pbma-thai-2026"", ""family.heo-coldbrew-consumers-2019""], ""challenging_source_families"": [], ""cross_source_supporting_membership_count"": 2, ""source_local_supporting_membership_count"": 4}"
