human_audit_item_id	audit_sequence	descriptor_assertion_id	source_family_id	source_artifact_id	effective_record_id	coffee_identity_id	year_id	publication_layer	source_native_form_id	restricted_source_pointer	machine_disposition	machine_output_atom_ids	machine_mapping_states	machine_concept_cluster_ids	collection_tier	blind_review_order_sha256	reviewer_id	human_disposition	human_split_count	human_concept_decision	human_error_category	human_review_note	human_reviewed_at
human-semantic-audit:a5176f4ab4dcfdffad070915	1	assertion-b2:a82f873fb85fec689432cf52	family.frontiers_cenicafe_lengupa_trained_cuppers	source-artifact:8c7e3dcee15972eaff0cc5d7	effective-post20k:f2d8f8bb7cf195a3699100b4	coffee-post20k:a9f1404881e809fba1cb1650	year.2026	TRAINED_PANEL_SAMPLE_CONSENSUS	source-form:b1123b42a6d1bb3e5e45c403	restricted://post20k_extension/assertions/assertion-b2:a82f873fb85fec689432cf52	VALID_STRICT_FLAVOR	cleaned-output-atom:28162c77dbc13905470f33d5	AMBIGUOUS_CONCEPT_BOUNDARY	concept-cluster:428200dc97310a3af7140d6a	GOLD	003a713eba27fa92ff0c7f73e812f4ab8197822d2f8d2ffb126c4152fc523820							
human-semantic-audit:0ca07ced62038861a896cb71	2	assertion-b2:35c4049dc2d796e81e810f8f	family.frontiers_inera_robusta_q_grader_panel	source-artifact:afadd6ca20ca86ec495bd740	effective-post20k:7bbade2380d0c302a625a6bd	coffee-post20k:c9a4ac8c65c5a4273ea1c972	year.2022	TRAINED_PANEL_SAMPLE_CONSENSUS	source-form:07a81f02b607fa1ad8dda6bb	restricted://post20k_extension/assertions/assertion-b2:35c4049dc2d796e81e810f8f	VALID_STRICT_FLAVOR	cleaned-output-atom:9e5ef262025425fa910b90ca	AMBIGUOUS_CONCEPT_BOUNDARY	concept-cluster:9e5d5d7a8c97ee4071468b15	GOLD	00485769fe20ffc3584f0e7b8e696726cbc58cfa7f32fe292f81cf5b43185d16							
human-semantic-audit:1842896038018745640ea0ac	3	assertion-b2:ba56669a054c843a7b4fb0e8	family.zenodo_golovinsky_q_grader_dataset	artifact-b2:85df699ea18f5849ef310410	effective-b2:252af432dcef188be83f40dc	coffee-b2:69a46d8701305c47588b51e4	year.2026	JUDGE_LEVEL_OBSERVATION	source-form:69afc2ce866da3bb0282a312	hash:sha256:998f8b3827be35a14bfaa8ab8dec013f91f2ef18b707d0f524f0d509757be640	VALID_STRICT_FLAVOR	cleaned-output-atom:705f448d7f7aaa0076edb013	EXISTING_CANONICAL_EXACT	concept-cluster:bdd31ed0b0741c99250d54da	GOLD	006fffd42f2aab16482457c541f1d08340314e6edb15f2e857afc46f06cdf400							
human-semantic-audit:68a46b7b5e539c298037d587	4	assertion-b2:caebff3c7dc5b59e29473097	family.frontiers_inera_robusta_q_grader_panel	source-artifact:afadd6ca20ca86ec495bd740	effective-post20k:7bbade2380d0c302a625a6bd	coffee-post20k:c9a4ac8c65c5a4273ea1c972	year.2022	TRAINED_PANEL_SAMPLE_CONSENSUS	source-form:f97e9da0e3b879f0a9df979a	restricted://post20k_extension/assertions/assertion-b2:caebff3c7dc5b59e29473097	NON_DESCRIPTOR	cleaned-output-atom:b0e9b681ad2c0282c5a1d755	NON_DESCRIPTOR	concept-cluster:253aa868967b741f0a564e37	GOLD	00e71762eab1f860e471c993dbef7ce5e35e3459bb2c00cb74accec5af2ee614							
human-semantic-audit:0920093b8339788698649de1	5	assertion-b2:030f62e7db13f79008297e27	family.frontiers_inera_robusta_q_grader_panel	source-artifact:afadd6ca20ca86ec495bd740	effective-post20k:c8c4eacd060f7986d3ff4f87	coffee-post20k:dd4121bd504b07331f16bec6	year.2022	TRAINED_PANEL_SAMPLE_CONSENSUS	source-form:07a81f02b607fa1ad8dda6bb	restricted://post20k_extension/assertions/assertion-b2:030f62e7db13f79008297e27	VALID_STRICT_FLAVOR	cleaned-output-atom:d60bc8d5e45c4f3204bf503a	AMBIGUOUS_CONCEPT_BOUNDARY	concept-cluster:9e5d5d7a8c97ee4071468b15	GOLD	01199952aa65ba1d9c6029fb1705d7ca005aebfcb16937bb7475f2d8bd124817							
human-semantic-audit:d6fe7bc279856c6225598b9c	6	assertion-b2:c9b96d54f40ce8be6cd5f700	family.ace_cup_of_excellence	source-artifact:301b78c565e133dea40e193c	effective-b2:cde3767ae2d3a2aa2223cf8a	coffee-b2:37011844c5aa221e561a9e0b	year.2025	GENERIC_ORGANIZER_SENSORY_FIELD	source-form:cd30349fc567320e79479fc5	restricted://post20k_extension/assertions/assertion-b2:c9b96d54f40ce8be6cd5f700	PROCESS_OR_ORIGIN_METADATA	cleaned-output-atom:f77da31008a4dbff22489a83	NON_DESCRIPTOR	concept-cluster:2a0ea756032be2c8dab247ce	SILVER	020304b2fdefa6de3d978e14159b920593520f52137414c75e24344d584e22cd							
human-semantic-audit:876c89f8791846649bc26055	7	assertion-b2:da8e371cc04e862e53c31778	family.frontiers_inera_robusta_q_grader_panel	source-artifact:afadd6ca20ca86ec495bd740	effective-post20k:8a3c3d32cddc6e289527c449	coffee-post20k:d7d7bf04f138c74de54049fd	year.2021	TRAINED_PANEL_SAMPLE_CONSENSUS	source-form:01e7c30f7fec479d601b6df8	restricted://post20k_extension/assertions/assertion-b2:da8e371cc04e862e53c31778	MODIFIER_ONLY	cleaned-output-atom:85fa17440743a1250fbdd0f8	MODIFIER_OF_EXISTING_CONCEPT	concept-cluster:527fc2be53e4a1f199e90a03	GOLD	025c2ed9d7b47f8e2b276bfd71778a156cb8026526fd569e8ceb124d76cb68dc							
human-semantic-audit:9f69d953a2f4ba6bd2ccc14d	8	assertion-b2:d1b29cc37e5fb61f28f1b074	family.project_origin	artifact-b2:7513f5ee31b0a0438262d0c0	effective-b2:0cc40ccdaade352fb361cc7c	coffee-b2:0b9444a2ba94d623236e42ac	year.2026	PROFESSIONAL_COMMERCIAL_SENSORY_FIELD	source-form:abf61b12b0266e8e76b502ff	hash:sha256:11d42c48f8eeec6a9bcd7355958bbbbd6e9debe32157d23f4fe8775a662602c6	VALID_STRICT_FLAVOR	cleaned-output-atom:ea8028a5d4ad41e76e0ad729	EXISTING_CANONICAL_EXACT	concept-cluster:08f3a3dfb648c5f643d502b8	BRONZE	0343539ff34224655e007cbf4d4dc41e7ba313f06cf21efee9d20fa118fafb8e							
human-semantic-audit:8b5e944932e377c12ddf1794	9	assertion-b2:d24e60b1ed23b228229bc434	family.zenodo_golovinsky_q_grader_dataset	artifact-b2:85df699ea18f5849ef310410	effective-b2:6d22ae80bd3eee29600004eb	coffee-b2:1fbda069891dbb16f15e16ba	year.2026	JUDGE_LEVEL_OBSERVATION	source-form:6c1ff09db3a73dc4a854f695	hash:sha256:6c1ff09db3a73dc4a854f695d20d174a848d55f2d743bab2ee1f8fc75be454f3	MODIFIER_ONLY	cleaned-output-atom:6b22072ee706307db47468d7	MODIFIER_OF_EXISTING_CONCEPT	concept-cluster:62fd02f633c6bb124bed0a29	GOLD	03a2fb0a9bbb41af898a9034c3b8f3d963823e49affbed0144e28c634849d3f3							
human-semantic-audit:bf6adae2f5b3164013148761	10	assertion-b2:df0fe19527f6749976dae4c6	family.ace_cup_of_excellence	source-artifact:946b4e4d09b8a45bfeaee1fd	effective-b2:4db72880fd1a9549d2495ced	coffee-b2:186919290987c62499bbec3f	year.2024	GENERIC_ORGANIZER_SENSORY_FIELD	source-form:6a1549161332058362cb8231	restricted://post20k_extension/assertions/assertion-b2:df0fe19527f6749976dae4c6	NON_DESCRIPTOR	cleaned-output-atom:75865aaa6c8d25d49203ec67	NON_DESCRIPTOR	concept-cluster:1840f8fa5fbc984ff238198e	SILVER	04ca734b9bf7796f35dec8baacb02a84b957cf91d868286517206ddd27bddfa5							
