semantic_relation_evidence_id	semantic_relation_id	source_id	source_locator_or_restricted_pointer	term_or_context_hash	relation_supported	evidence_authority	rights_status	raw_definition_published
semantic-evidence-profile:s0	AUTHORITY_PROFILE:S0_DETERMINISTIC_ORTHOGRAPHIC	batch4-v2-deterministic-cleaner	db/scripts/build-batch4-cleaning-staging.py	NA_AUTHORITY_PROFILE	MORPHOLOGICAL_VARIANT_OF	S0_DETERMINISTIC_ORTHOGRAPHIC	PROJECT_GOVERNED_CONTENT	false
semantic-evidence-profile:s1	AUTHORITY_PROFILE:S1_EXISTING_GOVERNED_ONTOLOGY_OR_ALIAS	semantic-reference.existing-governed-ontology-v1	restricted://governed-ontology-and-approved-alias-rules	NA_AUTHORITY_PROFILE	EXACT_EQUIVALENT|APPROVED_ALIAS_OF	S1_EXISTING_GOVERNED_ONTOLOGY_OR_ALIAS	PROJECT_GOVERNED_CONTENT	false
semantic-evidence-profile:s3	AUTHORITY_PROFILE:S3_MULTI_SOURCE_MACHINE_CANDIDATE	corpus-observation-aggregation	restricted://semantic-relation-support-by-edge-id	NA_AUTHORITY_PROFILE	HIERARCHY|MODIFIER|COMPOUND|OBSERVATIONAL|CONTEXT	S3_MULTI_SOURCE_MACHINE_CANDIDATE	MIXED_SOURCE_RIGHTS_NO_PROMOTION	false
semantic-evidence:fa67f2b332327d6e62d01420	semantic-relation:008708d660fb3f5078d3be45	semantic-reference.pmc13163763	PMC13163763#table-2-row-22	c5f0b537b8a07709420d9b23b8576e978cf658f96b852ba0bd8d45800499e53d	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:3f9ba50879f4b1f2e3d07b7c	semantic-relation:01b58f0509a0cdc1ca464756	semantic-reference.pmc8774372	PMC8774372#table-3-row-1	29738777ed1b18dfce10595e11a43c7c3d8c0bdadfd3e44db83a5d98ba38df75	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:55e90ee4ff2a562eca47e8f4	semantic-relation:0219c2523baedbad724f0b46	semantic-reference.pmc11675256	PMC11675256#table-1-row-22	7602628cc17b825f82cb7eb2d18eca39f7c0b14efd9467ee8d604006e27049d2	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:5dd5d2f793721681d2a5e91c	semantic-relation:04c293a37f154de39e061dc8	semantic-reference.pmc8774372	PMC8774372#table-3-row-11	9c4325336279dd59a28bac4f9ff12fb2a2cb8893e1678b282a6fd63d4cddd7b9	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:548490e8502258d5c13292eb	semantic-relation:05bbaa1f75ff00fdb64b2dc9	semantic-reference.pmc6776322	PMC6776322#table-2-column-6	9aa26756cc9def1c1f971640932ea1ba3bec7e19085b47519d58bda30b21a773	EXPLICIT_BROADER_NARROWER	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:a5612f3f04c78d77eb7ca0f8	semantic-relation:070b7d760c00e8ef8c7de967	semantic-reference.pmc13279845	PMC13279845#table-1-row-20	faf04737b3237625d5d9480501fd929176b0169e47246fd6371d423fdecca963	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:a5428b9bf34c45fe4543360f	semantic-relation:0935d9e8548076a89dd92489	semantic-reference.pmc11675256	PMC11675256#table-1-row-5	537a07ac13e7d35d575e8e72683f16d3f6437ece174b0bdc2c81a535566b9a0b	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:1cde15a184a3badcfc66c2b7	semantic-relation:0ad1f33433378711998619f1	semantic-reference.pmc13279845	PMC13279845#table-1-row-10	73352881cad5a543a01dce4fee30c415ad0f1ba1a02d37fca4f9cd276b3054a9	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:400a3b2fbd3c67bae2ad4b31	semantic-relation:0c1ebba1ac81db0b073dd0c3	semantic-reference.pmc11675256	PMC11675256#table-1-row-17	e45c8020c9c159ec9e22e890cbab366926bf49038fb20059a79bf0926183dcfd	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
semantic-evidence:ffc6224d867df8e7ed1031b2	semantic-relation:0cb9b11b2838facf58874cf0	semantic-reference.pmc13163763	PMC13163763#table-2-row-8	6185222ffd242c3c69caff8d94c51c36df97ef9d3ae0d82f967e7e650ab9b717	EXPLICIT_DEFINITION_MATCH	S2_EXPLICIT_PROFESSIONAL_REFERENCE	CC_BY_4_0_ATTRIBUTION_REQUIRED	false
