variant_id	question_id	option_id	question_language	option_language	examples	concept_ids	semantic_key	wording_status	lineage
A	fruit_region	berry	水果的感觉更接近哪些例子？	蓝莓这类小浆果		sensory.blueberry	fruit-region	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
A	fruit_region	citrus	水果的感觉更接近哪些例子？	柠檬、橙这类水果		sensory.lemon|sensory.orange	fruit-region	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
B	fruit_region	berry	水果的感觉更接近哪些例子？	蓝莓这类小浆果		sensory.blueberry	fruit-region	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
B	fruit_region	citrus	水果的感觉更接近哪些例子？	柠檬、橙这类水果		sensory.lemon|sensory.orange	fruit-region	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
A	browned_sweet_reference	brown_sugar	下面哪些香气让你有相似的联想？	红糖的浓厚甜香		sensory.brown_sugar	browned_sweet_reference	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
A	browned_sweet_reference	caramel_honey	下面哪些香气让你有相似的联想？	蜂蜜，或糖加热后的香气		sensory.honey|sensory.caramel	browned_sweet_reference	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
A	browned_sweet_reference	dark_chocolate	下面哪些香气让你有相似的联想？	甜味较少的黑巧克力		sensory.dark_chocolate	browned_sweet_reference	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
A	browned_sweet_reference	nuts	下面哪些香气让你有相似的联想？	杏仁、榛子这类坚果		sensory.almond|sensory.hazelnut	browned_sweet_reference	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
B	browned_sweet_reference	brown_sugar	下面哪些香气让你有相似的联想？	红糖的浓厚甜香		sensory.brown_sugar	browned_sweet_reference	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
B	browned_sweet_reference	caramel_honey	下面哪些香气让你有相似的联想？	蜂蜜，或糖加热后的香气		sensory.honey|sensory.caramel	browned_sweet_reference	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
B	browned_sweet_reference	dark_chocolate	下面哪些香气让你有相似的联想？	甜味较少的黑巧克力		sensory.dark_chocolate	browned_sweet_reference	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
B	browned_sweet_reference	nuts	下面哪些香气让你有相似的联想？	杏仁、榛子这类坚果		sensory.almond|sensory.hazelnut	browned_sweet_reference	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
A	floral_tea_reference	citrus_blossom	再想想香气，下面哪些例子比较接近？	柑橘树开花时的花香		sensory.orange_blossom	floral_tea_reference	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
A	floral_tea_reference	rose_floral	再想想香气，下面哪些例子比较接近？	玫瑰花的香气		sensory.rose	floral_tea_reference	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
A	floral_tea_reference	tea	再想想香气，下面哪些例子比较接近？	泡开绿茶后的香气		sensory.green_tea	floral_tea_reference	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
A	floral_tea_reference	white_floral	再想想香气，下面哪些例子比较接近？	茉莉这类轻柔花香		sensory.jasmine	floral_tea_reference	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
B	floral_tea_reference	citrus_blossom	再想想香气，下面哪些例子比较接近？	柑橘树开花时的花香		sensory.orange_blossom	floral_tea_reference	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
B	floral_tea_reference	rose_floral	再想想香气，下面哪些例子比较接近？	玫瑰花的香气		sensory.rose	floral_tea_reference	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
B	floral_tea_reference	tea	再想想香气，下面哪些例子比较接近？	泡开绿茶后的香气		sensory.green_tea	floral_tea_reference	FORMATIVE_WORDING_NOT_USER_VALIDATED	db/data/round3h/batch5/question_research_evidence.tsv|db/data/round3e/generated/question_candidates.tsv
