category_key	series_key	category_name	preparation_service	evidence_tier_candidate	core_eligibility	official_url	verification_status	note
wcc_wbc_espresso	wcc_wbc	Espresso Course	Fresh espresso	P1_CORE_CANDIDATE	ELIGIBLE	https://wcc.coffee/world-barista-championship	VERIFIED	Core black-coffee service; rights remain separate and unknown
wcc_wbc_milk	wcc_wbc	Milk Beverage Course	Fresh espresso with milk	AUXILIARY	AUXILIARY_ONLY	https://wcc.coffee/world-barista-championship	VERIFIED	May support milk-interaction analysis but not black-coffee core
wcc_wbc_signature	wcc_wbc	Signature Beverage Course	Fresh espresso with additional ingredients	EXCLUDED	EXCLUDED_ADDITIVES	https://wcc.coffee/world-barista-championship	VERIFIED	Excluded from core because non-coffee ingredients are permitted
wcc_wbrc_open	wcc_wbrc	Open Service	Fresh manual filter brew	P1_CORE_CANDIDATE	ELIGIBLE	https://wcc.coffee/world-brewers-cup	VERIFIED	Competitor-selected coffee and method; sensory judges evaluate the brewed cup
wcc_wbrc_compulsory	wcc_wbrc	Compulsory Service	Fresh manual filter brew	P1_CORE_CANDIDATE	ELIGIBLE	https://wcc.coffee/world-brewers-cup	VERIFIED	Common coffee and standardized conditions improve comparability
wcc_wlac_latte_art	wcc_wlac	Latte Art Beverages	Fresh espresso with milk	EXCLUDED	NOT_DESCRIPTOR_EVIDENCE	https://wcc.coffee/world-latte-art-championship	VERIFIED	Principally visual judging; retained to prevent accidental inclusion
wcc_wcigs_irish	wcc_wcigs	Irish Coffee	Fresh coffee with alcohol and other ingredients	EXCLUDED	EXCLUDED_ADDITIVES	https://wcc.coffee/world-coffee-in-good-spirits-championship	VERIFIED	Alcoholic beverage outside black-coffee scope
wcc_wcigs_designer	wcc_wcigs	Designer Beverage	Fresh coffee cocktail	EXCLUDED	EXCLUDED_ADDITIVES	https://wcc.coffee/world-coffee-in-good-spirits-championship	VERIFIED	Cocktail format outside black-coffee scope
wcc_wctc_triangle	wcc_wctc	Triangle Test	Fresh brewed triangle set	P2_CONTEXT	NOT_DESCRIPTOR_EVIDENCE	https://wcc.coffee/world-cup-tasters-championship	VERIFIED	Measures correct identifications rather than flavor-language fields
wcc_wcrc_production_roast	wcc_wcrc	Production Roast Cupping	Fresh competition cupping	P1_CORE_CANDIDATE	ELIGIBLE	https://wcc.coffee/world-coffee-roasting-championship	VERIFIED	Cup-quality scoresheets are official; public row-level fields remain limited
wcc_cic_traditional	wcc_cic	Traditional Cezve/Ibrik Beverage	Fresh cezve/ibrik preparation	P1_CORE_CANDIDATE	ELIGIBLE	https://wcc.coffee/cezve-ibrik-championship	VERIFIED	Core when served without additional flavoring ingredients
wcc_cic_signature	wcc_cic	Signature Cezve/Ibrik Beverage	Fresh cezve/ibrik with permitted additions	EXCLUDED	EXCLUDED_ADDITIVES	https://wcc.coffee/cezve-ibrik-championship	VERIFIED	Exclude unless a future row-level protocol proves black coffee only
coe_winners	coe	Cup of Excellence Winning Lots	Standardized competition roasting and cupping	P1_CORE_CANDIDATE	ELIGIBLE	https://cupofexcellence.org/cup-of-excellence/	VERIFIED	Blind multi-stage jury evaluation; rights unknown
coe_national_winners	coe	National Winners Finalists	Standardized competition roasting and cupping	P2_CORE_CANDIDATE	ELIGIBLE	https://cupofexcellence.org/cup-of-excellence/	VERIFIED	Finalists sent to ACE auction; public descriptor fields vary by edition
bop_varietales	best_of_panama	Varietales	Standardized competition roasting and cupping	P1_CORE_CANDIDATE	ELIGIBLE	https://bestofpanama.org/about2026	VERIFIED	Official 2026 category; rights unknown
bop_geisha_lavado	best_of_panama	Geisha Lavado	Standardized competition roasting and cupping	P1_CORE_CANDIDATE	ELIGIBLE	https://bestofpanama.org/about2026	VERIFIED	Official 2026 washed Geisha category
bop_geisha_natural	best_of_panama	Geisha Natural	Standardized competition roasting and cupping	P1_CORE_CANDIDATE	ELIGIBLE	https://bestofpanama.org/about2026	VERIFIED	Official 2026 natural Geisha category
gba_espresso	golden_bean_americas	Espresso	Fresh espresso	P1_CORE_CANDIDATE	ELIGIBLE	https://goldenbean.com/pages/2025-results	VERIFIED	Core black-coffee preparation
gba_milk	golden_bean_americas	Milk-Based	Fresh espresso with dairy milk	AUXILIARY	AUXILIARY_ONLY	https://goldenbean.com/pages/2025-results	VERIFIED	Milk interaction only
gba_filter	golden_bean_americas	Pour Over / Filter	Fresh filter brew	P1_CORE_CANDIDATE	ELIGIBLE	https://goldenbean.com/pages/2025-results	VERIFIED	Core black-coffee preparation
gba_alt_milk	golden_bean_americas	Alternative Milk	Fresh espresso with plant-based milk	AUXILIARY	AUXILIARY_ONLY	https://goldenbean.com/pages/2025-results	VERIFIED	Alternative-milk interaction only
gba_decaf	golden_bean_americas	Decaf	Preparation varies by submitted category	PENDING	PENDING_ROW_PREPARATION_LINKAGE	https://goldenbean.com/pages/2025-results	VERIFIED	Decaffeination is not a service method; row-level preparation linkage required
gba_elite	golden_bean_americas	Elite	Preparation varies	PENDING	PENDING_PROTOCOL_VERIFICATION	https://goldenbean.com/pages/2025-results	VERIFIED	Do not infer fresh black-coffee eligibility from category name alone
gba_chain_espresso	golden_bean_americas	Chain / Retail / Franchise Espresso	Fresh espresso	P1_CORE_CANDIDATE	ELIGIBLE	https://goldenbean.com/pages/2025-results	VERIFIED	Core black-coffee preparation
gba_chain_milk	golden_bean_americas	Chain / Retail / Franchise Milk-Based	Fresh espresso with milk	AUXILIARY	AUXILIARY_ONLY	https://goldenbean.com/pages/2025-results	VERIFIED	Milk interaction only
gba_chain_filter	golden_bean_americas	Chain / Retail / Franchise Filter	Fresh filter brew	P1_CORE_CANDIDATE	ELIGIBLE	https://goldenbean.com/pages/2025-results	VERIFIED	Core candidate subject to exact current brewing parameters
gba_super_auto	golden_bean_americas	Super Automatic	Fresh machine-prepared coffee	P2_CORE_CANDIDATE	PENDING_PROTOCOL_VERIFICATION	https://goldenbean.com/pages/about	VERIFIED	Official page publishes machine parameters; retain separately from manual and conventional espresso
gba_single_serve	golden_bean_americas	Single-Serve (K-Cup)	Fresh pod-machine brew	EXCLUDED	EXCLUDED_DELIVERY_FORMAT	https://goldenbean.com/pages/about	VERIFIED	Pod format outside current authorized core
gbaus_espresso	golden_bean_australasia	Espresso	Fresh espresso	P1_CORE_CANDIDATE	ELIGIBLE	https://goldenbean.com.au/pages/about	VERIFIED	Core black-coffee preparation
gbaus_milk	golden_bean_australasia	Milk	Fresh espresso with milk	AUXILIARY	AUXILIARY_ONLY	https://goldenbean.com.au/pages/about	VERIFIED	Milk interaction only
gbaus_filter	golden_bean_australasia	Pour Over / Filter	Fresh filter brew	P1_CORE_CANDIDATE	ELIGIBLE	https://goldenbean.com.au/pages/about	VERIFIED	Core black-coffee preparation
gbws_espresso	golden_bean_world_series	Espresso	Fresh espresso	P1_CORE_CANDIDATE	ELIGIBLE	https://goldenbean.com.au/pages/world-series	VERIFIED	One of three overall-champion services
gbws_milk	golden_bean_world_series	Milk	Fresh espresso with milk	AUXILIARY	AUXILIARY_ONLY	https://goldenbean.com.au/pages/world-series	VERIFIED	One of three overall-champion services; auxiliary only
gbws_filter	golden_bean_world_series	Filter	Fresh filter brew	P1_CORE_CANDIDATE	ELIGIBLE	https://goldenbean.com.au/pages/world-series	VERIFIED	One of three overall-champion services
iiac_a_filter	iiac_ict	A - Filter Coffee	Fresh filter preparation	P1_CORE_CANDIDATE	ELIGIBLE	https://www.internationalcoffeetasting.com/ict/wp-content/uploads/2025/03/2025-ICT-General-Regulations-v0.4-ENG.pdf	VERIFIED	Official 2025 category A
iiac_b_moka	iiac_ict	B - Moka Coffee	Fresh moka preparation	P1_CORE_CANDIDATE	ELIGIBLE	https://www.internationalcoffeetasting.com/ict/wp-content/uploads/2025/03/2025-ICT-General-Regulations-v0.4-ENG.pdf	VERIFIED	Official 2025 category B
iiac_c_automatic	iiac_ict	C - Coffee for Automatic Machines	Fresh automatic-machine preparation	P2_CORE_CANDIDATE	PENDING_PROTOCOL_VERIFICATION	https://www.internationalcoffeetasting.com/ict/wp-content/uploads/2025/03/2025-ICT-General-Regulations-v0.4-ENG.pdf	VERIFIED	Official 2025 category C; retain separately pending exact machine protocol
iiac_d_single_dose	iiac_ict	D - Single Doses	Capsule or single-dose preparation	EXCLUDED	EXCLUDED_DELIVERY_FORMAT	https://www.internationalcoffeetasting.com/ict/wp-content/uploads/2025/03/2025-ICT-General-Regulations-v0.4-ENG.pdf	VERIFIED	Outside current authorized core
iiac_e_espresso_blend	iiac_ict	E - Espresso Blends	Fresh espresso	P1_CORE_CANDIDATE	ELIGIBLE	https://www.internationalcoffeetasting.com/ict/wp-content/uploads/2025/03/2025-ICT-General-Regulations-v0.4-ENG.pdf	VERIFIED	Official 2025 category E
iiac_f_espresso_single_origin	iiac_ict	F - Single-Origin Espresso	Fresh espresso	P1_CORE_CANDIDATE	ELIGIBLE	https://www.internationalcoffeetasting.com/ict/wp-content/uploads/2025/03/2025-ICT-General-Regulations-v0.4-ENG.pdf	VERIFIED	Official 2025 category F
