distribution_cell	observed	next_checkpoint_required	gap	blocker	note
reviewed_p1_p2_strict_assertions	0	500	500	REVIEW|RIGHTS	Minimum deterministic evaluation checkpoint
reviewed_normalized_forms	0	75	75	REVIEW|NORMALIZATION	2915 provisional machine mappings exist; none are human reviewed
independent_core_source_families	0	3	3	RIGHTS|REVIEW	5 candidate families exist; none are core eligible
descriptor_bearing_effective_records	792	500	0	NONE_IF_COUNT_ONLY	Candidate record checkpoint reached; eligibility remains separate
multi_target_records	790	500	0	REVIEW	Provisional target sets are machine mapped and not reviewed
direct_source_roast_records	88	1	0	DISTRIBUTION	Direct roast evidence is concentrated in one source family
filter_or_pour_over_records	0	1	1	ACQUISITION	Preparation service unresolved
espresso_records	0	1	1	ACQUISITION	Preparation service unresolved
rights_affirmative_model_assertions	0	1	1	RIGHTS|REVIEW	4785 candidate assertions have affirmative noncommercial research rights but remain unreviewed
held_out_source_family	0	1	1	DISTRIBUTION|RIGHTS|REVIEW	5 candidate families and zero eligible held-out families
