question_evidence_key	question_range_target_key	supporting_source_families	independent_origin_count	decision	research_basis	user_validation_status	information_gain_status	limitation
question-evidence.round3h.01	question-range.acidity-character.acidity-character	family.iswaldi-rataconsumers-2026;family.coffee-cuality-experts-2026	2	RESEARCH_SUPPORT_ADDED	Direct acidity intensity and separate acidity adequacy/presence constructs.	NOT_USER_VALIDATED	NOT_ESTIMABLE	Independent research constructs do not validate Atlas wording, response behavior, or information gain.
question-evidence.round3h.02	question-range.bright-acidity.acidity-character	family.iswaldi-rataconsumers-2026;family.condelli-consumer-cata-2022	2	RESEARCH_SUPPORT_ADDED	Consumer acidity ratings plus distinct citrus and acidic selections.	NOT_USER_VALIDATED	NOT_ESTIMABLE	Independent research constructs do not validate Atlas wording, response behavior, or information gain.
question-evidence.round3h.03	question-range.browned-sweet-reference.cocoa-nut-caramel	family.vezzulli-trainedpanel-2022;family.nguyen-pbma-thai-2026	2	RESEARCH_SUPPORT_ADDED	Independent brown, dark-brown, caramel, honey, and sweetness constructs.	NOT_USER_VALIDATED	NOT_ESTIMABLE	Independent research constructs do not validate Atlas wording, response behavior, or information gain.
question-evidence.round3h.04	question-range.cocoa-nut-reference.cocoa-nut-caramel	family.vezzulli-trainedpanel-2022;family.bollen-robusta-qgraders-2024	2	RESEARCH_SUPPORT_ADDED	Independent cocoa and Nutty/Cocoa reference structures.	NOT_USER_VALIDATED	NOT_ESTIMABLE	Independent research constructs do not validate Atlas wording, response behavior, or information gain.
question-evidence.round3h.05	question-range.family-direction.cocoa-nut-caramel	family.condelli-consumer-cata-2022;family.gorman-milk-consumers-2021	2	RESEARCH_SUPPORT_ADDED	Consumer CATA chocolate, caramel, nutty, and matrix-specific associations.	NOT_USER_VALIDATED	NOT_ESTIMABLE	Independent research constructs do not validate Atlas wording, response behavior, or information gain.
question-evidence.round3h.06	question-range.family-direction.floral-tea	family.bollen-robusta-qgraders-2024;family.gorman-milk-consumers-2021;family.coffee-cuality-experts-2026	3	RESEARCH_SUPPORT_ADDED	Floral and tea constructs appear independently but are not equivalent.	NOT_USER_VALIDATED	NOT_ESTIMABLE	Independent research constructs do not validate Atlas wording, response behavior, or information gain.
question-evidence.round3h.07	question-range.family-direction.fruit	family.bollen-robusta-qgraders-2024;family.coffee-cuality-experts-2026	2	RESEARCH_SUPPORT_ADDED	Fruity classes and named fruit quality drivers support a research target.	NOT_USER_VALIDATED	NOT_ESTIMABLE	Independent research constructs do not validate Atlas wording, response behavior, or information gain.
question-evidence.round3h.08	question-range.roast-direction.roast-spice-smoke	family.iswaldi-rataconsumers-2026;family.nguyen-pbma-thai-2026;family.coffee-cuality-experts-2026	3	RESEARCH_SUPPORT_ADDED	Observed roast conditions, distinct thermal terms, and JAR adequacy support separate constructs.	NOT_USER_VALIDATED	NOT_ESTIMABLE	Independent research constructs do not validate Atlas wording, response behavior, or information gain.
question-evidence.round3h.09	question-range.roast-smoke-reference.roast-spice-smoke	family.gorman-milk-consumers-2021;family.condelli-consumer-cata-2022;family.heo-coldbrew-consumers-2019	3	RESEARCH_SUPPORT_ADDED	Independent consumer contrasts among roasted, burnt, smoky, ashy, and acrid.	NOT_USER_VALIDATED	NOT_ESTIMABLE	Independent research constructs do not validate Atlas wording, response behavior, or information gain.
question-evidence.round3h.10	question-range.sweet-direction.sweet-associated	family.gorman-milk-consumers-2021;family.nguyen-pbma-thai-2026	2	RESEARCH_SUPPORT_ADDED	Sweet, caramel, sweet taste, and sweet aromatic remain distinct.	NOT_USER_VALIDATED	NOT_ESTIMABLE	Independent research constructs do not validate Atlas wording, response behavior, or information gain.
question-evidence.round3h.11	question-range.sweetness-character.sweet-associated	family.gorman-milk-consumers-2021;family.nguyen-pbma-thai-2026	2	RESEARCH_SUPPORT_ADDED	Sweet liking driver and source-local sweetness intensity constructs.	NOT_USER_VALIDATED	NOT_ESTIMABLE	Independent research constructs do not validate Atlas wording, response behavior, or information gain.
question-evidence.round3h.12	question-range.texture-character.texture-body-drying	family.iswaldi-rataconsumers-2026;family.gorman-milk-consumers-2021;family.nguyen-pbma-thai-2026;family.condelli-consumer-cata-2022	4	RESEARCH_SUPPORT_ADDED	Mouthfeel, body, fullness, coating, astringency, and drying are independently measured.	NOT_USER_VALIDATED	NOT_ESTIMABLE	Independent research constructs do not validate Atlas wording, response behavior, or information gain.
