section	state_key	required_value	phase_a_value	hard_gate	phase_a_pass	evidence_basis	note
SOURCE_CHECKPOINT	FROZEN_MAIN_SHA	c3ae9b880d85507a0b8b0298bb94ef013d02f928	c3ae9b880d85507a0b8b0298bb94ef013d02f928	true	true	git rev-parse origin/main	Verified after git fetch --prune origin on 2026-08-27.
SOURCE_CHECKPOINT	FAILED_ROUND3J_BRANCH_SHA	a92b448043e8dad468339b3ca2cdfd2b7f6aa772	a92b448043e8dad468339b3ca2cdfd2b7f6aa772	true	true	git rev-parse failed branch	The failed branch is retained as immutable failure evidence.
SOURCE_CHECKPOINT	WORK_BRANCH	codex/coffee-sensory-kb-v0-round3k-professional-competition-corpus-20260827	codex/coffee-sensory-kb-v0-round3k-professional-competition-corpus-20260827	true	true	git branch --show-current	The branch was created in an isolated worktree from the exact frozen SHA.
RECOVERY	ROUND3J_FAILURE_BRANCH_PRESERVED	true	true	true	true	git branch -vv	No Round 3J ref or commit was rewritten.
RECOVERY	ROUND3J_FAILURE_BRANCH_MERGED	false	false	true	true	git merge-base --is-ancestor	The failed branch is not an ancestor of frozen main or this branch.
RECOVERY	ROUND3J_DB050_SUPERSEDED	true	DESIGN_FROZEN_IMPLEMENTATION_PENDING	true	false	Round 3K corpus rules	db/050 remains on the failed branch and will have no active Round 3K role.
RECOVERY	ROUND3J_DB050_DELETED	false	false	true	true	failed branch tree	db/050 remains available as audit history.
RECOVERY	ORIGINAL_DIRTY_MAIN_TOUCHED	false	false	true	true	isolated worktree creation	No file, index, ref, stash, or checkout operation changed the user's dirty main worktree.
ARCHITECTURE	COMPETITION_SCHEMA_REQUIRED	true	DESIGN_FROZEN_IMPLEMENTATION_PENDING	true	false	Deep Research Round 2 and Round 3K request	The effective observation unit is a competition round-service event, not a document.
ARCHITECTURE	DB049_SEMANTICS_RETAINED	true	DESIGN_RETAINED_IMPLEMENTATION_PENDING	true	false	failed branch db/049 dependency audit	The required semantics are frozen for reimplementation; do not blindly cherry-pick code.
ARCHITECTURE	DB049_CODE_CHERRY_PICKED	false	false	true	true	branch history	Forward migrations must be authored on the clean Round 3K branch.
ARCHITECTURE	DB049_DEPENDENCY_AUDIT_PASS	true	true	true	true	failed branch db/049 dependency audit	Exact code depends on frozen and obsolete Round 3J objects and hard-coded thresholds; semantic reimplementation is required.
ARCHITECTURE	DB050_FORCED_UNRESOLVED_CONTRACT_REUSED	false	false	true	true	Round 3K label contract	Positive, multi-target, ambiguous, conflicting, source-local, unresolved, abstention, and outside-ontology labels are supported.
ARCHITECTURE	COMPETITION_DATA_STORED_AS_MIGRATIONS	false	false	true	true	Round 3K adapter contract	Competition records are governed snapshots and adapter outputs.
CORE_POPULATION	CORE_EVIDENCE_TIERS	P1|P2	P1|P2	true	true	PROFESSIONAL_EVIDENCE_TIER.tsv	P0 is authority; P3-P5 are not core professional evidence.
CORE_POPULATION	FRESH_PREPARATION_CONFIRMED	true	CONTRACT_FROZEN	true	true	PROFESSIONAL_RECORD_CONTRACT.tsv	Every credited core record must link to official preparation evidence.
CORE_POPULATION	CORE_BLACK_COFFEE_MILK_POOLED	false	false	true	true	fresh-preparation contract	Milk and plant-milk records remain an auxiliary context stratum.
