rule_key	domain	language_tag	normalized_expression	outcome_status	family_key	leaf_key	roast_code	mapping_grade	review_decision	evidence_locator
context.rule.2d7980a5314251e4cbb5	preparation	en	aeropress	known	preparation.family.hybrid	preparation.method.aeropress		reviewed_lexical	approved	db/scripts/evaluate-round3b-normalization.py
context.rule.a6c1377ae80d47ae04ae	preparation	en	americano	known	preparation.family.diluted_espresso	preparation.beverage.americano		reviewed_lexical	approved	db/scripts/evaluate-round3b-normalization.py
context.rule.4f58dc0c48ccac4fcf70	preparation	en	batch brew	known	preparation.family.filter_percolation	preparation.method.batch_filter		reviewed_lexical	approved	db/scripts/evaluate-round3b-normalization.py
context.rule.b52195c8001796eb1bdd	preparation	en	cafetiere	known	preparation.family.immersion	preparation.method.french_press		reviewed_lexical	approved	db/scripts/evaluate-round3b-normalization.py
context.rule.617a44d31c896f16fd69	preparation	en	cappuccino	known	preparation.family.espresso_milk	preparation.beverage.cappuccino		reviewed_lexical	approved	db/scripts/evaluate-round3b-normalization.py
context.rule.84b25ed178f3f974abd6	preparation	en	cezve	known	preparation.family.stovetop_boiled	preparation.method.cezve		reviewed_lexical	approved	db/scripts/evaluate-round3b-normalization.py
context.rule.3884f5b9e267a020ceb1	preparation	en	chemex	known	preparation.family.filter_percolation	preparation.method.chemex		reviewed_lexical	approved	db/scripts/evaluate-round3b-normalization.py
context.rule.0ad535f4ee1e74fed616	preparation	en	clever dripper	known	preparation.family.hybrid			reviewed_lexical	approved	db/scripts/evaluate-round3b-normalization.py
context.rule.182af6957f6e1f863068	preparation	en	cold brew	known	preparation.family.cold_extraction	preparation.method.cold_brew_immersion		reviewed_lexical	approved	db/scripts/evaluate-round3b-normalization.py
context.rule.f4265fffa570b3124c7d	preparation	en	cold drip	known	preparation.family.cold_extraction	preparation.method.cold_drip		reviewed_lexical	approved	db/scripts/evaluate-round3b-normalization.py
context.rule.5e7130f3557000b0deb5	preparation	en	cortado	known	preparation.family.espresso_milk	preparation.beverage.cortado		reviewed_lexical	approved	db/scripts/evaluate-round3b-normalization.py
context.rule.d7117acda382b28ef20f	preparation	en	drip coffee	known	preparation.family.filter_percolation			reviewed_lexical	approved	db/scripts/evaluate-round3b-normalization.py
context.rule.a4243de11ee21bfd9b67	preparation	en	dutch coffee	reported_unresolved				reviewed_abstention	abstained	db/scripts/evaluate-round3b-normalization.py
context.rule.3bd92e4697dfa4cabb14	preparation	en	espresso	known	preparation.family.espresso_pressure	preparation.method.espresso_standard		reviewed_lexical	approved	db/scripts/evaluate-round3b-normalization.py
context.rule.b144cf4f683d51697132	preparation	en	filter coffee	known	preparation.family.filter_percolation			reviewed_lexical	approved	db/scripts/evaluate-round3b-normalization.py
context.rule.7a4767c39d15c5e521c1	preparation	en	flat white	known	preparation.family.espresso_milk	preparation.beverage.flat_white		reviewed_lexical	approved	db/scripts/evaluate-round3b-normalization.py
context.rule.3c5e1e3551078cc4d240	preparation	en	french press	known	preparation.family.immersion	preparation.method.french_press		reviewed_lexical	approved	db/scripts/evaluate-round3b-normalization.py
context.rule.bd27c970109252a8d004	preparation	en	hand drip	known	preparation.family.filter_percolation	preparation.method.manual_filter		reviewed_lexical	approved	db/scripts/evaluate-round3b-normalization.py
