candidate_pool_key	audit_case_key	audit_split_code	concept_key	concept_type_code	retrieved_by_baselines_json	baseline_ranks_json	best_retrieval_tier_code	best_tier_order	best_candidate_rank	retrieval_status_codes_json	matched_expression_identity_sha256s_json	signal_ledger_by_baseline_json	signal_ledger_sha256
audit_candidate.round2b.sha256_a651773fe16332d0490a4ff59efc2cdefbed60a3c44242abf7a14df3aa416532	audit_case.round2b.sha256_010208f0c1adfd46680b9c6b9f98f7afacf033b89e257eb11418904e92e838c5	development	sensory.grapefruit	sensory_attribute	"[""C"",""D""]"	"{""C"":1,""D"":1}"	C	3	1	"[""CANDIDATE""]"	"[""aa17ac71abaf86e342596a83031d6e75b1d3a8f480e1587ee80d7c6fb7f32e96""]"	"[{""candidate_rank"":1,""relation_type_code"":null,""retrieval_baseline_code"":""C"",""retrieval_tier_code"":""C"",""seed_concept_key"":null,""signal_ledger"":[{""signal_code"":""pg_trgm_similarity"",""value"":0.5,""value_semantics"":""orthographic similarity only""}],""traversal_direction"":null},{""candidate_rank"":1,""relation_type_code"":null,""retrieval_baseline_code"":""D"",""retrieval_tier_code"":""C"",""seed_concept_key"":null,""signal_ledger"":[{""signal_code"":""pg_trgm_similarity"",""value"":0.5,""value_semantics"":""orthographic similarity only""}],""traversal_direction"":null}]"	87b9cb59177b2e1bb7d0ea28d92794cafad9bba35340bcdf4afd60ca1295b768
audit_candidate.round2b.sha256_90a5c380e087eb05bce893c60b0bdd8c3067f96545efb113d332d40ff5e36e4f	audit_case.round2b.sha256_010208f0c1adfd46680b9c6b9f98f7afacf033b89e257eb11418904e92e838c5	development	category.citrus	category	"[""D""]"	"{""D"":2}"	D	4	2	"[""CANDIDATE""]"	[]	"[{""candidate_rank"":2,""relation_type_code"":""broader_than"",""retrieval_baseline_code"":""D"",""retrieval_tier_code"":""D"",""seed_concept_key"":""sensory.grapefruit"",""signal_ledger"":[{""relation_type_code"":""broader_than"",""signal_code"":""typed_graph_hop"",""source_concept_key"":""sensory.grapefruit"",""traversal_direction"":""INCOMING"",""value"":1}],""traversal_direction"":""INCOMING""}]"	b3162244daaf04eb60c04e3b65a6cd1282a2551a29f5e791959f8a6ab4805b3a
audit_candidate.round2b.sha256_123cffb4161cee28fddcbaf76a2d3f9810a1916eb4bbea39696514181af6ff30	audit_case.round2b.sha256_0146cb39bedf5a5b285d7865d276da0c72780edfe89808148257ceb4406769a8	held_out	sensory.apple	sensory_attribute	"[""C"",""D""]"	"{""C"":1,""D"":1}"	C	3	1	"[""CANDIDATE""]"	"[""797b295f925acdf4df289193de9d854077d9dc2419a18316150c76c9310f6a28""]"	"[{""candidate_rank"":1,""relation_type_code"":null,""retrieval_baseline_code"":""C"",""retrieval_tier_code"":""C"",""seed_concept_key"":null,""signal_ledger"":[{""signal_code"":""pg_trgm_similarity"",""value"":0.46153846,""value_semantics"":""orthographic similarity only""}],""traversal_direction"":null},{""candidate_rank"":1,""relation_type_code"":null,""retrieval_baseline_code"":""D"",""retrieval_tier_code"":""C"",""seed_concept_key"":null,""signal_ledger"":[{""signal_code"":""pg_trgm_similarity"",""value"":0.46153846,""value_semantics"":""orthographic similarity only""}],""traversal_direction"":null}]"	5fcf32d179db9ed9a63f0ae96c67ee981434515e8268e10a9e1c99c2f962ef7b
audit_candidate.round2b.sha256_f8d3c5088e2770a9bd8c35a5bb8b34a8a6138cb9da1ab9800b40dc2ed5b5b817	audit_case.round2b.sha256_0146cb39bedf5a5b285d7865d276da0c72780edfe89808148257ceb4406769a8	held_out	category.orchard_fruit	category	"[""D""]"	"{""D"":2}"	D	4	2	"[""CANDIDATE""]"	[]	"[{""candidate_rank"":2,""relation_type_code"":""broader_than"",""retrieval_baseline_code"":""D"",""retrieval_tier_code"":""D"",""seed_concept_key"":""sensory.apple"",""signal_ledger"":[{""relation_type_code"":""broader_than"",""signal_code"":""typed_graph_hop"",""source_concept_key"":""sensory.apple"",""traversal_direction"":""INCOMING"",""value"":1}],""traversal_direction"":""INCOMING""}]"	0e839868098b55a1562541f81e5e3800c8c44f5c08a68129af3e6ef080cd7576
audit_candidate.round2b.sha256_4b7ca6776081422fbc1f37c182c4f268053a413606e3aa091e1b1db62cc2d577	audit_case.round2b.sha256_01d7699c110cf7a5424927c0dacc5b0eec0e97a93737442aafc057224cdb6277	held_out	sensory.dark_chocolate	sensory_attribute	"[""C"",""D""]"	"{""C"":1,""D"":1}"	C	3	1	"[""CANDIDATE""]"	"[""a8d30cbf56485e8c96bb2bbaa40d623b00534ac144f70c7b14ec3909b853993e""]"	"[{""candidate_rank"":1,""relation_type_code"":null,""retrieval_baseline_code"":""C"",""retrieval_tier_code"":""C"",""seed_concept_key"":null,""signal_ledger"":[{""signal_code"":""pg_trgm_similarity"",""value"":0.39473686,""value_semantics"":""orthographic similarity only""}],""traversal_direction"":null},{""candidate_rank"":1,""relation_type_code"":null,""retrieval_baseline_code"":""D"",""retrieval_tier_code"":""C"",""seed_concept_key"":null,""signal_ledger"":[{""signal_code"":""pg_trgm_similarity"",""value"":0.39473686,""value_semantics"":""orthographic similarity only""}],""traversal_direction"":null}]"	d7730743a955b4d8150946ab19e05a4f51642edd512abfe5e3335118308d1af0
audit_candidate.round2b.sha256_44ad854fd3854f4840351211a72b5ca93aba3e274ae7deeb4d5fe6701c2fb5a6	audit_case.round2b.sha256_01d7699c110cf7a5424927c0dacc5b0eec0e97a93737442aafc057224cdb6277	held_out	category.cocoa_chocolate	category	"[""D""]"	"{""D"":2}"	D	4	2	"[""CANDIDATE""]"	[]	"[{""candidate_rank"":2,""relation_type_code"":""broader_than"",""retrieval_baseline_code"":""D"",""retrieval_tier_code"":""D"",""seed_concept_key"":""sensory.dark_chocolate"",""signal_ledger"":[{""relation_type_code"":""broader_than"",""signal_code"":""typed_graph_hop"",""source_concept_key"":""sensory.dark_chocolate"",""traversal_direction"":""INCOMING"",""value"":1}],""traversal_direction"":""INCOMING""}]"	bada20d88f9e4df3be0afb84a390fa77fc59bfd40398e1779031076a1bfe08c4
audit_candidate.round2b.sha256_f87bd59d54a13615719cbdb27b3a355e9a5f54b012f4f2d885cd3b90ce5096d4	audit_case.round2b.sha256_022fee0b7a2c614d2d6f23748f18a2539f9b11bb1efdc7aeddaf65ee0b86bdd2	development	sensory.grapefruit	sensory_attribute	"[""C"",""D""]"	"{""C"":1,""D"":1}"	C	3	1	"[""CANDIDATE""]"	"[""aa17ac71abaf86e342596a83031d6e75b1d3a8f480e1587ee80d7c6fb7f32e96""]"	"[{""candidate_rank"":1,""relation_type_code"":null,""retrieval_baseline_code"":""C"",""retrieval_tier_code"":""C"",""seed_concept_key"":null,""signal_ledger"":[{""signal_code"":""pg_trgm_similarity"",""value"":0.6875,""value_semantics"":""orthographic similarity only""}],""traversal_direction"":null},{""candidate_rank"":1,""relation_type_code"":null,""retrieval_baseline_code"":""D"",""retrieval_tier_code"":""C"",""seed_concept_key"":null,""signal_ledger"":[{""signal_code"":""pg_trgm_similarity"",""value"":0.6875,""value_semantics"":""orthographic similarity only""}],""traversal_direction"":null}]"	aa8766aebe48d271f4dd20efebbefd91d8b5a7846f53d37f37583e14c4b54b9c
audit_candidate.round2b.sha256_6ced0d7fb515006b1f00d95225cc7c62690631f28319004b1dfed585377d657d	audit_case.round2b.sha256_022fee0b7a2c614d2d6f23748f18a2539f9b11bb1efdc7aeddaf65ee0b86bdd2	development	category.citrus	category	"[""D""]"	"{""D"":2}"	D	4	2	"[""CANDIDATE""]"	[]	"[{""candidate_rank"":2,""relation_type_code"":""broader_than"",""retrieval_baseline_code"":""D"",""retrieval_tier_code"":""D"",""seed_concept_key"":""sensory.grapefruit"",""signal_ledger"":[{""relation_type_code"":""broader_than"",""signal_code"":""typed_graph_hop"",""source_concept_key"":""sensory.grapefruit"",""traversal_direction"":""INCOMING"",""value"":1}],""traversal_direction"":""INCOMING""}]"	b3162244daaf04eb60c04e3b65a6cd1282a2551a29f5e791959f8a6ab4805b3a
audit_candidate.round2b.sha256_f1c2419233dd518b51dba911e7a62ffd4af02b39b80f5f84814f408631d72b7d	audit_case.round2b.sha256_023c7c1d5d0c6e490b7ba0a68741d0469927a718213f6cb7451c13fa5bdfd135	held_out	sensory.coconut	sensory_attribute	"[""C"",""D""]"	"{""C"":1,""D"":1}"	C	3	1	"[""CANDIDATE""]"	"[""0cc86adb15cf1e53089e61c4460c4025553cecfbbc180ae10d58aa5de3e085a4""]"	"[{""candidate_rank"":1,""relation_type_code"":null,""retrieval_baseline_code"":""C"",""retrieval_tier_code"":""C"",""seed_concept_key"":null,""signal_ledger"":[{""signal_code"":""pg_trgm_similarity"",""value"":0.5,""value_semantics"":""orthographic similarity only""}],""traversal_direction"":null},{""candidate_rank"":1,""relation_type_code"":null,""retrieval_baseline_code"":""D"",""retrieval_tier_code"":""C"",""seed_concept_key"":null,""signal_ledger"":[{""signal_code"":""pg_trgm_similarity"",""value"":0.5,""value_semantics"":""orthographic similarity only""}],""traversal_direction"":null}]"	87b9cb59177b2e1bb7d0ea28d92794cafad9bba35340bcdf4afd60ca1295b768
audit_candidate.round2b.sha256_6feb65b6052ae4cd8609fb75b2c1fdda1365f42296c5f84dc2a78c984b1993b4	audit_case.round2b.sha256_023c7c1d5d0c6e490b7ba0a68741d0469927a718213f6cb7451c13fa5bdfd135	held_out	category.tropical_fruit	category	"[""D""]"	"{""D"":2}"	D	4	2	"[""CANDIDATE""]"	[]	"[{""candidate_rank"":2,""relation_type_code"":""broader_than"",""retrieval_baseline_code"":""D"",""retrieval_tier_code"":""D"",""seed_concept_key"":""sensory.coconut"",""signal_ledger"":[{""relation_type_code"":""broader_than"",""signal_code"":""typed_graph_hop"",""source_concept_key"":""sensory.coconut"",""traversal_direction"":""INCOMING"",""value"":1}],""traversal_direction"":""INCOMING""}]"	9f5abf7e84e5c7990167265bf4e3a8df7bdf019c5d1ec42e92a29df73ccc56c3
